,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
John Franklin,TB,WR,1,1,11,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,18.2
DK Metcalf,SEA,WR,16,2,11,0,0.0,0,100.0,2,0,2,100.0,100.0,0.0,7,3.5,63.6
Alex Armah,CAR,FB,16,6,11,1,100.0,5,0.0,0,1,0,0.0,83.3,0.2,8,1.3,72.7
Isaiah Ford,MIA,WR,8,1,11,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,21,21.0,190.9
T.J. Logan,TB,RB,12,3,10,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,4,1.3,40.0
Derek Watt,LAC,FB,16,7,10,1,100.0,7,0.0,0,1,0,0.0,85.7,0.1,8,1.1,80.0
Tyler Ervin,GB,RB,4,1,10,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,7,7.0,70.0
Buddy Howell,HOU,RB,16,5,10,0,100.0,3,0.0,0,0,0,0.0,100.0,0.0,5,1.0,50.0
Odell Beckham,CLE,WR,16,3,10,0,0.0,0,100.0,3,1,1,33.3,66.7,0.0,5,1.7,50.0
Jarvis Landry,CLE,WR,16,1,10,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Anthony Sherman,KC,FB,16,4,9,0,100.0,4,0.0,0,1,0,0.0,75.0,0.0,4,1.0,44.4
Marquez Valdes-Scantling,GB,WR,16,2,9,0,0.0,0,100.0,2,1,0,0.0,50.0,0.0,5,2.5,55.6
John Kelly,LAR,RB,4,3,9,0,100.0,2,0.0,0,0,0,0.0,100.0,0.0,4,1.3,44.4
Josh Ferguson,WAS,RB,2,3,9,0,0.0,0,100.0,3,1,1,33.3,66.7,0.0,5,1.7,55.6
Johnny Holton,PIT,WR,16,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,11.1
Devontae Booker,DEN,RB,16,2,9,0,0.0,0,0.0,0,0,2,100.0,100.0,0.0,12,6.0,133.3
Jamal Agnew,DET,WR,13,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,22.2
Jordan Scarlett,CAR,RB,9,4,9,0,100.0,2,0.0,0,2,0,0.0,50.0,0.0,7,1.8,77.8
Dawson Knox,BUF,TE,15,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,3,3.0,33.3
Chris Godwin,TB,WR,14,1,8,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,11,11.0,137.5
Ryan Nall,CHI,RB,8,2,8,0,100.0,2,0.0,0,0,1,50.0,100.0,0.0,5,2.5,62.5
Keith Smith,ATL,FB,16,5,8,0,100.0,5,0.0,0,1,0,0.0,80.0,0.0,5,1.0,62.5
John Brown,BUF,WR,15,2,7,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,1,0.5,14.3
Nelson Agholor,PHI,WR,11,2,7,0,0.0,0,100.0,2,1,0,0.0,50.0,0.0,0,0.0,0.0
Geronimo Allison,GB,WR,16,1,7,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,4,4.0,57.1
Patrick DiMarco,BUF,FB,16,3,7,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,5,1.7,71.4
Kyle Juszczyk,SF,FB,12,3,7,0,66.7,2,33.3,1,1,0,0.0,66.7,0.0,9,3.0,128.6
Andre Roberts,BUF,WR,13,1,7,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,3,3.0,42.9
Tyrod Taylor,LAC,QB,8,10,7,0,75.0,6,25.0,2,7,0,0.0,30.0,0.0,2,0.2,28.6
Eli Manning,NYG,QB,4,4,7,0,100.0,4,0.0,0,2,0,0.0,50.0,0.0,2,0.5,28.6
Ben Roethlisberger,PIT,QB,2,1,7,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Will Dissly,SEA,TE,6,1,7,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,28.6
Evan Engram,NYG,TE,8,3,7,0,0.0,0,100.0,3,1,0,0.0,66.7,0.0,2,0.7,28.6
Marvin Hall,DET,WR,9,1,7,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,28.6
Tony Brooks-James,PIT,RB,3,8,7,0,25.0,1,75.0,3,4,2,25.0,50.0,0.0,18,2.3,257.1
Bisi Johnson,MIN,WR,16,1,6,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,16.7
Nick Scott,LAR,S,16,1,6,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,6,6.0,100.0
Diontae Spencer,DEN,WR,16,3,6,0,0.0,0,100.0,3,1,0,0.0,66.7,0.0,2,0.7,33.3
De'Lance Turner,MIA,RB,8,4,6,0,75.0,3,25.0,1,2,0,0.0,50.0,0.0,6,1.5,100.0
Keelan Cole,JAX,WR,16,1,6,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,4,4.0,66.7
Chase Daniel,CHI,QB,3,6,6,0,33.3,2,66.7,4,2,0,0.0,66.7,0.0,4,0.7,66.7
Amari Cooper,DAL,WR,16,1,6,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,16.7
Adam Thielen,MIN,WR,10,4,6,1,0.0,0,100.0,3,1,1,25.0,75.0,0.3,10,2.5,166.7
De'Anthony Thomas,KC/BAL,WR,14,2,5,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,4,2.0,80.0
Darren Waller,OAK,TE,16,2,5,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Antonio Brown,NE,WR,1,1,5,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Colin Jones,CAR,S,16,1,5,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,3,3.0,60.0
Da'Mari Scott,NYG,WR,5,1,5,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,40.0
Jakeem Grant,MIA,WR,10,4,5,1,0.0,0,100.0,4,2,1,25.0,50.0,0.3,2,0.5,40.0
Greg Ward,PHI,WR,7,1,5,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,2,2.0,40.0
Cooper Kupp,LAR,WR,16,2,4,0,0.0,0,100.0,2,1,0,0.0,50.0,0.0,10,5.0,250.0
John Ross,CIN,WR,8,3,4,0,0.0,0,100.0,3,1,0,0.0,66.7,0.0,3,1.0,75.0
Robby Anderson,NYJ,WR,16,1,4,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Travis Kelce,KC,TE,16,1,4,1,0.0,0,0.0,0,0,0,0.0,100.0,1.0,0,0.0,0.0
Alfred Morris,ARI,RB,1,1,4,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,50.0
Jamison Crowder,NYJ,WR,16,1,4,0,0.0,0,100.0,1,0,2,200.0,100.0,0.0,10,10.0,250.0
Erik Harris,OAK,S,16,1,4,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Senorise Perry,BUF,RB,11,3,3,0,100.0,1,0.0,0,2,0,0.0,33.3,0.0,5,1.7,166.7
James Develin,NE,FB,2,2,3,0,100.0,2,0.0,0,0,0,0.0,100.0,0.0,1,0.5,33.3
Danny Vitale,GB,FB,15,1,3,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,66.7
Zay Jones,OAK,WR,10,1,3,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Andrew Beck,DEN,TE,16,1,3,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,2,2.0,66.7
KeeSean Johnson,ARI,WR,10,1,3,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Trevon Wesco,NYJ,TE,16,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,100.0
Mike Williams,LAC,WR,15,1,2,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,4,4.0,200.0
Matt Haack,MIA,P,16,1,2,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,2,2.0,100.0
Vance McDonald,PIT,TE,14,1,2,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,50.0
Alshon Jeffery,PHI,WR,10,1,2,1,0.0,0,100.0,1,0,1,100.0,100.0,1.0,1,1.0,50.0
Brian Hoyer,IND,QB,4,8,2,0,87.5,7,12.5,1,6,2,25.0,25.0,0.0,13,1.6,650.0
Willie Snead,BAL,WR,16,2,2,0,0.0,0,100.0,2,1,0,0.0,50.0,0.0,1,0.5,50.0
Allen Robinson,CHI,WR,16,1,2,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Pharoh Cooper,ARI,WR,12,1,2,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Adam Humphries,TEN,WR,12,1,1,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Marqise Lee,JAX,WR,6,1,1,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,5,5.0,500.0
Josh Gordon,NE,WR,6,1,1,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,6,6.0,600.0
Andy Janovich,DEN,FB,7,1,1,1,100.0,1,0.0,0,0,1,100.0,100.0,1.0,1,1.0,100.0
Trace McSorley,BAL,QB,1,1,1,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Chris Moore,BAL,WR,14,1,0,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,2,2.0,0.0
Gerald Everett,LAR,TE,13,1,0,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Quenton Nelson,IND,OG,16,1,0,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Marvin Jones,DET,WR,13,2,0,0,0.0,0,100.0,2,1,1,50.0,50.0,0.0,2,1.0,0.0
Mike Glennon,OAK,QB,2,2,0,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Brett Kern,TEN,P,16,1,0,0,0.0,0,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Paul Richardson,WAS,WR,10,1,0,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,2,2.0,0.0
Matt Moore,KC,QB,6,5,-1,0,80.0,4,20.0,1,4,0,0.0,20.0,0.0,0,0.0,0.0
Ryan Griffin,TB,QB,2,4,-1,0,100.0,4,0.0,0,4,0,0.0,0.0,0.0,0,0.0,0.0
Richie James,SF,WR,16,2,-1,0,0.0,0,100.0,1,2,2,100.0,0.0,0.0,2,1.0,-200.0
Anthony Miller,CHI,WR,16,1,-1,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,1,1.0,-100.0
Jarrett Stidham,NE,QB,3,2,-2,0,100.0,2,0.0,0,2,0,0.0,0.0,0.0,0,0.0,0.0
Josh McCown,PHI,QB,3,2,-2,0,100.0,2,0.0,0,2,0,0.0,0.0,0.0,0,0.0,0.0
Cam Newton,CAR,QB,2,5,-2,0,60.0,3,40.0,2,4,2,40.0,20.0,0.0,6,1.2,-300.0
Zach Zenner,ARI/NO,RB,4,3,-2,0,33.3,1,66.7,2,2,1,33.3,33.3,0.0,5,1.7,-250.0
Garrett Gilbert,CLE,QB,5,3,-3,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Julio Jones,ATL,WR,15,2,-3,0,0.0,0,100.0,2,1,1,50.0,50.0,0.0,1,0.5,-33.3
Matt Schaub,ATL,QB,6,3,-3,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Nick Mullens,SF,QB,1,3,-3,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Drew Brees,NO,QB,11,9,-4,1,100.0,9,0.0,0,7,0,0.0,22.2,0.1,0,0.0,0.0
Matt Barkley,BUF,QB,2,2,-4,0,0.0,0,100.0,1,2,0,0.0,0.0,0.0,0,0.0,0.0
Bryan Anger,HOU,P,14,1,-5,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Sean Mannion,MIN,QB,3,6,-5,0,100.0,6,0.0,0,6,0,0.0,0.0,0.0,0,0.0,0.0
Tyler Lockett,SEA,WR,16,4,-5,0,0.0,0,100.0,4,2,1,25.0,50.0,0.0,1,0.3,-20.0
Kalif Raymond,TEN,WR,8,1,-5,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Tim Boyle,GB,QB,3,5,-7,0,100.0,5,0.0,0,5,0,0.0,0.0,0.0,0,0.0,0.0
Jarius Wright,CAR,WR,16,1,-7,0,0.0,0,100.0,1,1,1,100.0,0.0,0.0,2,2.0,-28.6
Jordan Berry,PIT,P,16,2,-8,0,100.0,1,0.0,0,2,0,0.0,0.0,0.0,0,0.0,0.0
Michael Thomas,NO,WR,16,1,-9,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Blake Bortles,LAR,QB,3,2,-9,0,0.0,0,100.0,2,1,0,0.0,50.0,0.0,1,0.5,-11.1
Noah Fant,DEN,TE,16,3,-12,0,0.0,0,100.0,2,3,0,0.0,0.0,0.0,2,0.7,-16.7
