,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Darren Fells,HOU,TE,1,2,21,10.0,21.0,0,2,10.0,0,0,0,0,0,0,0
Duke Johnson,HOU,RB,1,3,21,7.0,21.0,0,4,5.0,0,0,0,0,0,0,0
Tyler Higbee,LAR,TE,1,3,20,6.0,20.0,0,4,5.0,0,0,0,0,0,0,0
Golden Tate,NYG,WR,1,4,20,5.0,20.0,0,6,3.0,0,0,0,0,0,0,0
Willie Snead,BAL,WR,1,2,20,10.0,20.0,0,2,10.0,0,0,0,0,0,0,0
Chris Carson,SEA,RB,1,3,20,6.0,20.0,0,4,5.0,0,0,0,0,0,1,0
Isaiah Wright,WAS,WR,1,4,20,5.0,20.0,0,5,4.0,0,0,0,0,0,0,0
Malik Taylor,GB,WR,1,1,20,20.0,20.0,0,1,20.0,1,0,0,0,0,0,0
Christian Kirk,ARI,WR,1,3,19,6.0,19.0,1,5,3.0,0,0,0,0,0,0,0
Donald Parham,LAC,TE,1,1,19,19.0,19.0,1,1,19.0,0,0,0,0,0,0,0
Latavius Murray,NO,RB,1,1,19,19.0,19.0,0,2,9.0,0,0,0,0,0,0,0
Malcolm Brown,LAR,RB,1,5,19,3.0,19.0,0,6,3.0,0,0,0,0,0,0,0
Jason Witten,LV,TE,1,2,18,9.0,18.0,1,2,9.0,0,0,0,0,0,0,0
Isaiah McKenzie,BUF,WR,1,1,18,18.0,18.0,0,1,18.0,0,0,0,0,0,0,0
Reggie Bonnafon,CAR,RB,1,2,18,9.0,18.0,1,2,9.0,0,0,0,0,0,0,0
Brandon Aiyuk,SF,WR,1,2,18,9.0,18.0,0,5,3.0,0,0,0,0,0,0,0
Cam Sims,WAS,WR,1,2,17,8.0,17.0,0,2,8.0,0,0,0,0,0,0,0
Ronald Jones,TB,RB,1,6,17,2.0,17.0,0,9,1.0,0,0,0,0,0,0,0
Chris Manhertz,CAR,TE,1,1,17,17.0,17.0,0,1,17.0,0,0,0,0,0,0,0
Trey Burton,IND,TE,1,2,16,8.0,16.0,0,5,3.0,0,0,0,0,0,0,0
Anthony Miller,CHI,WR,1,3,16,5.0,16.0,0,5,3.0,0,0,0,0,0,0,0
Jordan Wilkins,IND,RB,1,1,16,16.0,16.0,0,1,16.0,0,0,0,0,0,0,0
Tony Pollard,DAL,RB,1,1,16,16.0,16.0,0,2,8.0,0,0,0,0,0,0,0
Dawson Knox,BUF,TE,1,2,16,8.0,16.0,0,3,5.0,0,0,0,0,0,0,0
Dalvin Cook,MIN,RB,1,2,16,8.0,16.0,0,2,8.0,0,0,0,0,0,0,0
Darrell Henderson,LAR,RB,1,1,16,16.0,16.0,0,1,16.0,0,0,0,0,0,0,0
Marquez Callaway,NO,WR,1,1,16,16.0,16.0,0,1,16.0,0,0,0,0,0,0,0
DeeJay Dallas,SEA,RB,1,2,15,7.0,15.0,0,2,7.0,0,0,0,0,0,0,0
Mike Gesicki,MIA,TE,1,1,15,15.0,15.0,0,3,5.0,0,0,0,0,0,0,0
