,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Preston Williams,MIA,WR,1,3,1,15,38,12.7,0.9,15,33.3,0.0,12.0,6.7,0,0.0,0.0,0,0
Brian Hill,ATL,RB,1,2,2,13,4,2.0,0.3,4,100.0,0.0,1.0,5.1,9,4.5,69.2,0,0
Jeff Wilson,SF,RB,1,1,1,13,-2,-2.0,-0.3,-2,100.0,0.0,-0.8,2.4,15,15.0,115.4,0,0
Mo Alie-Cox,IND,TE,1,2,1,13,6,3.0,0.2,3,50.0,0.0,2.6,7.1,10,10.0,76.9,0,0
Kyle Juszczyk,SF,FB,1,2,1,13,11,5.5,0.5,0,50.0,0.0,4.5,4.8,13,13.0,100.0,0,0
Jack Doyle,IND,TE,1,1,1,12,10,10.0,0.2,10,100.0,0.0,4.3,3.6,2,2.0,16.7,0,0
Tyler Kroft,BUF,TE,1,3,1,12,15,5.0,0.8,10,33.3,33.3,7.3,9.4,2,2.0,16.7,0,0
Justin Jackson,LAC,RB,1,2,2,12,-8,-4.0,-0.4,-8,100.0,0.0,-4.3,8.0,20,10.0,166.7,0,0
Chris Herndon,NYJ,TE,1,3,1,11,15,5.0,0.3,2,33.3,33.3,3.7,7.0,9,9.0,81.8,0,0
Jonathan Taylor,IND,RB,1,1,1,11,2,2.0,0.1,2,100.0,0.0,0.9,3.6,9,9.0,81.8,0,0
Gunner Olszewski,NE,WR,1,1,1,11,11,11.0,1.8,11,100.0,0.0,4.0,2.9,0,0.0,0.0,0,0
Ted Ginn,CHI,WR,1,2,2,11,5,2.5,0.7,5,100.0,0.0,1.4,4.8,6,3.0,54.5,0,0
Melvin Gordon,DEN,RB,1,3,2,11,6,2.0,0.1,0,66.7,33.3,2.2,10.7,11,5.5,100.0,0,0
Kalen Ballage,NYJ,RB,1,3,2,11,23,7.7,0.8,5,66.7,0.0,5.6,7.0,6,3.0,54.5,0,0
Seth Roberts,CAR,WR,1,1,1,10,9,9.0,1.1,9,100.0,0.0,3.9,2.8,1,1.0,10.0,0,0
Jalen Richard,LV,RB,1,4,2,10,6,1.5,0.4,1,50.0,0.0,2.3,9.3,9,4.5,90.0,0,0
Ryan Griffin,NYJ,TE,1,3,3,10,2,0.7,0.1,2,100.0,0.0,0.5,7.0,8,2.7,80.0,0,0
Deonte Harris,NO,WR,1,2,1,10,15,7.5,1.1,-4,50.0,0.0,6.4,8.0,14,14.0,140.0,0,0
Kaden Smith,NYG,TE,1,1,1,10,8,8.0,0.3,8,100.0,0.0,4.0,2.8,2,2.0,20.0,0,0
Gerald Everett,LAR,TE,1,1,1,10,3,3.0,0.1,3,100.0,0.0,1.6,3.1,7,7.0,70.0,0,0
T.J. Hockenson,DET,TE,1,4,2,9,31,7.8,0.7,5,50.0,0.0,9.3,13.3,4,2.0,44.4,0,0
Zach Ertz,PHI,TE,1,5,4,9,3,0.6,0.1,-5,80.0,0.0,2.1,20.0,14,3.5,155.6,1,0
Marvin Jones,DET,WR,1,2,1,9,42,21.0,0.8,9,50.0,0.0,12.6,6.7,0,0.0,0.0,2,0
Alex Erickson,CIN,WR,1,1,1,9,4,4.0,0.6,4,100.0,0.0,1.0,2.9,5,5.0,55.6,0,0
Nick Boyle,BAL,TE,1,1,1,9,6,6.0,0.2,6,100.0,0.0,1.7,4.3,3,3.0,33.3,0,0
DaeSean Hamilton,DEN,WR,1,3,1,9,68,22.7,1.2,8,33.3,0.0,24.6,10.7,1,1.0,11.1,0,0
Tyler Ervin,GB,RB,1,2,1,8,-6,-3.0,-0.3,-1,50.0,0.0,-2.2,6.1,9,9.0,112.5,0,0
Taysom Hill,NO,QB,1,1,1,8,6,6.0,0.3,6,100.0,0.0,2.6,4.0,2,2.0,25.0,0,0
Logan Thomas,WAS,TE,1,4,1,8,39,9.8,0.6,3,25.0,0.0,17.8,9.1,5,5.0,62.5,0,0
Dion Lewis,NYG,RB,1,3,2,8,11,3.7,0.5,3,66.7,0.0,5.5,8.3,5,2.5,62.5,0,0
