,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Artie Burns,PIT,CB,16,60.0,47.0,7,54,0.0,0,2,1,0
Jourdan Lewis,DAL,CB,15,56.0,48.0,6,54,0.0,0,0,1,0
T.J. Watt,PIT,LB,15,72.0,40.0,14,54,7.0,1,0,1,0
Akiem Hicks,CHI,DE,16,75.0,39.0,15,54,8.5,0,2,0,0
Rodney McLeod,PHI,S,14,64.0,39.0,15,54,0.0,1,1,3,0
K'Waun Williams,SF,CB,14,64.0,42.0,12,54,1.0,2,1,1,0
A.J. Klein,NO,LB,12,60.0,37.0,17,54,2.0,1,0,0,0
Ricardo Allen,ATL,S,15,56.0,38.0,16,54,0.0,0,0,1,0
Terrance Mitchell,KC,CB,15,61.0,48.0,5,53,0.0,0,0,4,0
Leonard Johnson,BUF,CB,15,57.0,41.0,12,53,0.0,1,1,0,0
Mike Mitchell,PIT,S,13,55.0,35.0,18,53,0.0,0,1,0,0
B.J. Goodson,NYG,LB,7,55.0,37.0,16,53,0.0,1,0,0,0
A'Shawn Robinson,DET,DT,16,64.0,32.0,21,53,0.5,1,0,1,1
Jayon Brown,TEN,LB,16,57.0,38.0,14,52,1.5,0,1,0,0
Marshon Lattimore,NO,CB,13,70.0,43.0,9,52,0.0,1,0,5,1
Jabaal Sheard,IND,DE,16,67.0,37.0,15,52,5.5,2,0,0,0
Bennie Logan,KC,DT,15,55.0,35.0,17,52,1.5,0,0,0,0
Will Parks,DEN,S,16,53.0,36.0,15,51,0.0,0,0,1,0
Dalvin Tomlinson,NYG,DT,16,52.0,30.0,20,50,1.0,0,0,0,0
Bashaud Breeland,WAS,CB,15,58.0,37.0,13,50,0.0,0,0,1,1
Ross Cockrell,NYG,CB,16,56.0,37.0,13,50,0.0,0,0,3,0
Stephon Gilmore,NE,CB,13,54.0,47.0,3,50,0.0,0,0,2,0
Robert McClain,TB,CB,14,62.0,41.0,9,50,0.0,0,0,3,1
Kam Chancellor,SEA,S,9,51.0,34.0,15,49,0.0,1,0,0,0
Michael Johnson,CIN,DE,15,59.0,35.0,14,49,5.0,0,0,0,0
Brent Grimes,TB,CB,13,57.0,44.0,5,49,0.0,0,1,3,0
Terrell Suggs,BAL,DE,16,79.0,37.0,12,49,11.0,4,0,0,0
Mike Daniels,GB,DT,14,61.0,34.0,15,49,5.0,1,0,0,0
Nickell Robey-Coleman,LAR,CB,15,57.0,39.0,10,49,0.0,1,1,2,0
Kawann Short,CAR,DT,16,70.0,27.0,22,49,7.5,2,1,0,0
Kelvin Sheppard,NYG,LB,7,53.0,32.0,17,49,0.0,0,0,2,0
Lamarcus Joyner,LAR,S,12,63.0,39.0,10,49,0.0,1,0,3,1
Shawn Williams,CIN,S,11,55.0,34.0,15,49,0.0,0,2,1,0
Malcom Brown,NE,DT,13,54.0,29.0,20,49,2.5,0,0,0,0
Matt Milano,BUF,LB,16,61.0,32.0,17,49,0.0,1,1,1,1
Michael Pierce,BAL,DT,16,55.0,32.0,17,49,1.0,0,2,0,0
Nick Kwiatkoski,CHI,LB,11,55.0,37.0,12,49,2.0,1,0,0,0
Jordan Jenkins,NYJ,LB,16,61.0,32.0,17,49,3.0,1,2,0,0
Eli Apple,NYG,CB,11,53.0,41.0,8,49,0.0,0,2,0,0
