,,,,Week 2 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
191,Jordan Akins,HOU,TE,BAL,BAL,7,49.5,4.79,0.00,0.00,0.00,0.00,0.00,0.00,3.28,32.87,0.25
192,Isaiah Ford,MIA,WR,BUF,BUF,5.5,42.5,4.75,0.00,0.00,0.00,0.33,2.11,0.00,3.42,34.60,0.18
193,Cordarrelle Patterson,CHI,WR,NYG,CHI,-4.5,42.5,4.73,0.00,0.00,0.00,3.13,15.66,0.16,1.26,12.46,0.16
194,Tyler Eifert,JAX,TE,TEN,TEN,7,44.5,4.71,0.00,0.00,0.00,0.00,0.00,0.00,2.99,28.49,0.31
195,Chris Hogan,NYJ,WR,SF,SF,7,41.5,4.67,0.00,0.00,0.00,0.00,0.00,0.00,3.83,39.45,0.12
196,Leonard Fournette,TB,RB,CAR,TB,-7.5,47.0,4.66,0.00,0.00,0.00,5.30,27.00,0.22,0.53,5.23,0.02
197,J.J. Arcega-Whiteside,PHI,WR,LAR,PHI,-2.0,46.0,4.63,0.00,0.00,0.00,0.00,0.00,0.00,2.60,34.32,0.20
198,Josh Reynolds,LAR,WR,PHI,PHI,2,46.0,4.62,0.00,0.00,0.00,0.21,1.16,0.00,2.38,31.85,0.22
199,Jakeem Grant,MIA,WR,BUF,BUF,5.5,42.5,4.61,0.00,0.00,0.00,0.45,2.07,0.02,2.37,34.45,0.14
200,Braxton Berrios,NYJ,WR,SF,SF,7,41.5,4.61,0.00,0.00,0.00,0.00,0.00,0.00,4.42,35.86,0.17
201,Mo Alie-Cox,IND,TE,MIN,IND,-3.5,49.0,4.61,0.00,0.00,0.00,0.00,0.00,0.00,3.80,36.50,0.16
202,Matt Breida,MIA,RB,BUF,BUF,5.5,42.5,4.56,0.00,0.00,0.00,6.30,26.93,0.18,1.06,7.87,0.00
203,Chase Claypool,PIT,WR,DEN,PIT,-6.5,41.0,4.53,0.00,0.00,0.00,0.00,0.00,0.00,2.11,29.73,0.26
204,Dalton Schultz,DAL,TE,ATL,DAL,-3.0,53.5,4.51,0.00,0.00,0.00,0.00,0.00,0.00,3.43,32.50,0.21
205,Ryan Griffin,NYJ,TE,SF,SF,7,41.5,4.48,0.00,0.00,0.00,0.00,0.00,0.00,4.01,38.22,0.11
206,Tony Pollard,DAL,RB,ATL,DAL,-3.0,53.5,4.44,0.00,0.00,0.00,3.40,18.51,0.15,1.87,13.32,0.06
207,Anthony Firkser,TEN,TE,JAX,TEN,-7.0,44.5,4.39,0.00,0.00,0.00,0.00,0.00,0.00,2.47,30.05,0.23
208,Greg Olsen,SEA,TE,NE,SEA,-4.5,45.0,4.32,0.00,0.00,0.00,0.00,0.00,0.00,2.99,33.64,0.16
209,Kyle Rudolph,MIN,TE,IND,IND,3.5,49.0,4.29,0.00,0.00,0.00,0.00,0.00,0.00,2.91,27.29,0.26
210,Kenny Stills,HOU,WR,BAL,BAL,7,49.5,4.27,0.00,0.00,0.00,0.00,0.00,0.00,1.91,31.89,0.18
211,Ian Thomas,CAR,TE,TB,TB,7.5,47.0,4.25,0.00,0.00,0.00,0.00,0.00,0.00,3.23,31.74,0.18
212,Van Jefferson,LAR,WR,PHI,PHI,2,46.0,4.25,0.00,0.00,0.00,0.00,0.00,0.00,2.54,32.85,0.16
213,Miles Boykin,BAL,WR,HOU,BAL,-7.0,49.5,4.21,0.00,0.00,0.00,0.00,0.00,0.00,2.32,28.34,0.23
214,Demarcus Robinson,KC,WR,LAC,KC,-8.5,47.0,4.19,0.00,0.00,0.00,0.00,0.00,0.00,2.34,31.65,0.17
215,Dawson Knox,BUF,TE,MIA,BUF,-5.5,42.5,4.19,0.00,0.00,0.00,0.00,0.00,0.00,2.78,27.54,0.24
216,Gabriel Davis,BUF,WR,MIA,BUF,-5.5,42.5,4.16,0.00,0.00,0.00,0.00,0.00,0.00,2.12,31.99,0.16
217,Giovani Bernard,CIN,RB,CLE,CLE,6,44.5,4.14,0.00,0.00,0.00,3.50,12.62,0.07,2.42,19.75,0.08
218,David Moore,SEA,WR,NE,SEA,-4.5,45.0,4.10,0.00,0.00,0.00,0.23,1.51,0.00,1.73,25.64,0.23
219,Will Dissly,SEA,TE,NE,SEA,-4.5,45.0,4.08,0.00,0.00,0.00,0.00,0.00,0.00,2.07,25.21,0.26
220,Damiere Byrd,NE,WR,SEA,SEA,4.5,45.0,4.02,0.00,0.00,0.00,0.00,0.00,0.00,2.96,31.16,0.15
221,Irv Smith,MIN,TE,IND,IND,3.5,49.0,3.98,0.00,0.00,0.00,0.00,0.00,0.00,2.93,28.99,0.18
222,Robert Tonyan,GB,TE,DET,GB,-7.0,51.0,3.95,0.00,0.00,0.00,0.00,0.00,0.00,3.03,28.68,0.18
223,Dan Arnold,ARI,TE,WAS,ARI,-7.0,46.5,3.87,0.00,0.00,0.00,0.00,0.00,0.00,2.26,29.12,0.16
224,Darrel Williams,KC,RB,LAC,KC,-8.5,47.0,3.74,0.00,0.00,0.00,4.40,19.10,0.00,2.53,18.34,0.00
225,Royce Freeman,DEN,RB,PIT,PIT,6.5,41.0,3.74,0.00,0.00,0.00,4.20,14.56,0.11,1.47,12.04,0.07
226,Tim Patrick,DEN,WR,PIT,PIT,6.5,41.0,3.73,0.00,0.00,0.00,0.00,0.00,0.00,2.30,28.31,0.15
227,Dontrelle Inman,WAS,WR,ARI,ARI,7,46.5,3.71,0.00,0.00,0.00,0.00,0.00,0.00,2.68,31.12,0.10
228,Jalen Richard,LV,RB,NO,NO,4,47.5,3.67,0.00,0.00,0.00,3.00,12.65,0.00,2.89,24.04,0.00
229,Darrell Henderson,LAR,RB,PHI,PHI,2,46.0,3.57,0.00,0.00,0.00,2.00,8.69,0.10,1.66,16.16,0.08
230,Vance McDonald,PIT,TE,DEN,PIT,-6.5,41.0,3.41,0.00,0.00,0.00,0.00,0.00,0.00,2.35,24.52,0.16
231,Drew Sample,CIN,TE,CLE,CLE,6,44.5,3.34,0.00,0.00,0.00,0.00,0.00,0.00,2.92,26.24,0.12
232,John Hightower,PHI,WR,LAR,PHI,-2.0,46.0,3.30,0.00,0.00,0.00,0.23,1.38,0.00,1.78,28.02,0.06
233,KJ Hamler,DEN,WR,PIT,PIT,6.5,41.0,3.25,0.00,0.00,0.00,0.30,1.11,0.00,1.92,23.55,0.13
234,Darnell Mooney,CHI,WR,NYG,CHI,-4.5,42.5,3.19,0.00,0.00,0.00,0.00,0.00,0.00,1.92,27.08,0.08
235,Jalen Guyton,LAC,WR,KC,KC,8.5,47.0,3.16,0.00,0.00,0.00,0.00,0.00,0.00,1.94,24.43,0.12
236,Nick Boyle,BAL,TE,HOU,BAL,-7.0,49.5,3.15,0.00,0.00,0.00,0.00,0.00,0.00,2.30,25.50,0.10
237,Corey Clement,PHI,RB,LAR,PHI,-2.0,46.0,3.07,0.00,0.00,0.00,4.40,19.10,0.07,1.26,5.03,0.04
238,Darren Fells,HOU,TE,BAL,BAL,7,49.5,3.03,0.00,0.00,0.00,0.00,0.00,0.00,1.87,19.45,0.18
239,Travis Homer,SEA,RB,NE,SEA,-4.5,45.0,2.96,0.00,0.00,0.00,2.70,12.42,0.07,1.39,10.01,0.05
240,Josh Hill,NO,TE,LV,NO,-4.0,47.5,2.96,0.00,0.00,0.00,0.00,0.00,0.00,2.08,19.38,0.17
241,Kaden Smith,NYG,TE,CHI,CHI,4.5,42.5,2.95,0.00,0.00,0.00,0.00,0.00,0.00,2.00,21.13,0.14
242,KhaDarel Hodge,CLE,WR,CIN,CLE,-6.0,44.5,2.90,0.00,0.00,0.00,0.00,0.00,0.00,1.71,24.24,0.08
243,Bisi Johnson,MIN,WR,IND,IND,3.5,49.0,2.90,0.00,0.00,0.00,0.06,0.43,0.00,2.36,24.97,0.06
244,Jordan Wilkins,IND,RB,MIN,IND,-3.5,49.0,2.83,0.00,0.00,0.00,3.70,17.81,0.12,0.44,3.28,0.00
245,Taysom Hill,NO,QB,LV,NO,-4.0,47.5,2.80,2.68,0.14,0.00,1.30,6.39,0.08,0.45,4.49,0.09
246,AJ Dillon,GB,RB,DET,GB,-7.0,51.0,2.80,0.00,0.00,0.00,3.70,17.95,0.12,0.41,2.89,0.00
247,Rex Burkhead,NE,RB,SEA,SEA,4.5,45.0,2.79,0.00,0.00,0.00,3.10,12.57,0.09,1.00,9.89,0.00
248,Jaylen Samuels,PIT,RB,DEN,PIT,-6.5,41.0,2.69,0.00,0.00,0.00,1.80,7.25,0.09,1.50,11.29,0.05
249,Gerald Everett,LAR,TE,PHI,PHI,2,46.0,2.68,0.00,0.00,0.00,0.00,0.00,0.00,1.92,18.37,0.14
250,J.D. McKissic,WAS,RB,ARI,ARI,7,46.5,2.64,0.00,0.00,0.00,2.50,8.56,0.00,1.92,17.83,0.00
251,Ito Smith,ATL,RB,DAL,DAL,3,53.5,2.61,0.00,0.00,0.00,2.30,9.38,0.10,1.01,8.33,0.04
252,Brian Hill,ATL,RB,DAL,DAL,3,53.5,2.61,0.00,0.00,0.00,3.40,13.78,0.08,1.16,7.48,0.00
253,DaeSean Hamilton,DEN,WR,PIT,PIT,6.5,41.0,2.51,0.00,0.00,0.00,0.00,0.00,0.00,1.70,20.26,0.08
254,Michael Pittman,IND,WR,MIN,IND,-3.5,49.0,2.48,0.00,0.00,0.00,0.00,0.00,0.00,1.50,18.22,0.11
255,Harrison Bryant,CLE,TE,CIN,CLE,-6.0,44.5,2.43,0.00,0.00,0.00,0.00,0.00,0.00,1.67,18.30,0.10
256,Cameron Brate,TB,TE,CAR,TB,-7.5,47.0,2.38,0.00,0.00,0.00,0.00,0.00,0.00,1.61,15.39,0.14
257,Chris Conley,JAX,WR,TEN,TEN,7,44.5,2.35,0.00,0.00,0.00,0.00,0.00,0.00,1.06,16.87,0.11
258,Marvin Hall,DET,WR,GB,GB,7,51.0,2.30,0.00,0.00,0.00,0.00,0.00,0.00,1.02,19.44,0.06
259,Devin Asiasi,NE,TE,SEA,SEA,4.5,45.0,2.20,0.00,0.00,0.00,0.00,0.00,0.00,1.52,16.00,0.10
260,Ross Dwelley,SF,TE,NYJ,SF,-7.0,41.5,2.09,0.00,0.00,0.00,0.00,0.00,0.00,1.52,14.34,0.11
261,Jace Sternberger,GB,TE,DET,GB,-7.0,51.0,2.08,0.00,0.00,0.00,0.00,0.00,0.00,1.25,14.18,0.11
262,Ryan Izzo,NE,TE,SEA,SEA,4.5,45.0,2.07,0.00,0.00,0.00,0.00,0.00,0.00,1.28,12.86,0.13
263,Gus Edwards,BAL,RB,HOU,BAL,-7.0,49.5,2.02,0.00,0.00,0.00,2.90,15.41,0.08,0.00,0.00,0.00
264,Devin Duvernay,BAL,WR,HOU,BAL,-7.0,49.5,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,13.39,0.11
265,Cedrick Wilson,DAL,WR,ATL,DAL,-3.0,53.5,1.94,0.00,0.00,0.00,0.00,0.00,0.00,1.36,15.81,0.06
266,Dante Pettis,SF,WR,NYJ,SF,-7.0,41.5,1.94,0.00,0.00,0.00,0.00,0.00,0.00,1.08,13.95,0.09
267,Devontae Booker,LV,RB,NO,NO,4,47.5,1.89,0.00,0.00,0.00,1.90,7.98,0.03,0.84,7.92,0.02
268,Jeremy Sprinkle,WAS,TE,ARI,ARI,7,46.5,1.82,0.00,0.00,0.00,0.00,0.00,0.00,1.25,13.40,0.08
269,James O'Shaughnessy,JAX,TE,TEN,TEN,7,44.5,1.82,0.00,0.00,0.00,0.00,0.00,0.00,1.25,13.40,0.08
270,Tyler Kroft,BUF,TE,MIA,BUF,-5.5,42.5,1.81,0.00,0.00,0.00,0.00,0.00,0.00,1.29,13.29,0.08
271,Jason Witten,LV,TE,NO,NO,4,47.5,1.80,0.00,0.00,0.00,0.00,0.00,0.00,1.42,13.24,0.08
272,Freddie Swain,SEA,WR,NE,SEA,-4.5,45.0,1.70,0.00,0.00,0.00,0.00,0.00,0.00,1.26,17.00,0.00
273,Tyler Ervin,GB,RB,DET,GB,-7.0,51.0,1.69,0.00,0.00,0.00,1.20,6.85,0.00,1.10,10.07,0.00
274,Tee Higgins,CIN,WR,CLE,CLE,6,44.5,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.92,12.63,0.07
275,Cole Kmet,CHI,TE,NYG,CHI,-4.5,42.5,1.68,0.00,0.00,0.00,0.00,0.00,0.00,1.28,12.55,0.07
276,Anthony McFarland,PIT,RB,DEN,PIT,-6.5,41.0,1.65,0.00,0.00,0.00,2.00,8.92,0.08,0.40,2.81,0.00
277,Khari Blasingame,TEN,RB,JAX,TEN,-7.0,44.5,1.64,0.00,0.00,0.00,1.20,4.81,0.00,1.65,11.55,0.00
278,Jaeden Graham,ATL,TE,DAL,DAL,3,53.5,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.81,12.16,0.07
279,Blake Bell,DAL,TE,ATL,DAL,-3.0,53.5,1.63,0.00,0.00,0.00,0.00,0.00,0.00,1.21,13.26,0.05
280,Seth Roberts,CAR,WR,TB,TB,7.5,47.0,1.60,0.00,0.00,0.00,0.00,0.00,0.00,1.02,13.02,0.05
281,Demetrius Harris,CHI,TE,NYG,CHI,-4.5,42.5,1.52,0.00,0.00,0.00,0.00,0.00,0.00,1.16,11.61,0.06
282,Jacob Hollister,SEA,TE,NE,SEA,-4.5,45.0,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.83,8.08,0.10
283,Nelson Agholor,LV,WR,NO,NO,4,47.5,1.40,0.00,0.00,0.00,0.07,0.30,0.00,0.89,8.85,0.08
284,Dion Lewis,NYG,RB,CHI,CHI,4.5,42.5,1.36,0.00,0.00,0.00,2.60,9.50,0.00,0.70,4.14,0.00
285,Mike Thomas,CIN,WR,CLE,CLE,6,44.5,1.35,0.00,0.00,0.00,0.00,0.00,0.00,1.08,11.10,0.04
286,Durham Smythe,MIA,TE,BUF,BUF,5.5,42.5,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.98,10.51,0.05
287,Mack Hollins,MIA,WR,BUF,BUF,5.5,42.5,1.35,0.00,0.00,0.00,0.00,0.00,0.00,1.03,13.48,0.00
288,LeSean McCoy,TB,RB,CAR,TB,-7.5,47.0,1.33,0.00,0.00,0.00,0.80,4.24,0.04,0.95,6.70,0.00
289,Jesse James,DET,TE,GB,GB,7,51.0,1.33,0.00,0.00,0.00,0.00,0.00,0.00,1.20,13.29,0.00
290,J.J. Taylor,NE,RB,SEA,SEA,4.5,45.0,1.30,0.00,0.00,0.00,2.30,8.56,0.00,0.79,4.46,0.00
291,Andy Isabella,ARI,WR,WAS,ARI,-7.0,46.5,1.29,0.00,0.00,0.00,0.17,0.98,0.00,0.69,10.14,0.03
292,Javon Wims,CHI,WR,NYG,CHI,-4.5,42.5,1.27,0.00,0.00,0.00,0.00,0.00,0.00,1.14,12.70,0.00
293,DeAndre Carter,HOU,WR,BAL,BAL,7,49.5,1.26,0.00,0.00,0.00,0.00,0.00,0.00,1.15,12.61,0.00
294,Rashard Higgins,CLE,WR,CIN,CLE,-6.0,44.5,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.77,10.18,0.03
295,Lynn Bowden,MIA,WR,BUF,BUF,5.5,42.5,1.12,0.60,0.00,0.00,0.57,2.58,0.02,0.58,5.91,0.02
296,Virgil Green,LAC,TE,KC,KC,8.5,47.0,1.12,0.00,0.00,0.00,0.00,0.00,0.00,1.35,11.19,0.00
297,Foster Moreau,LV,TE,NO,NO,4,47.5,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.71,7.53,0.06
298,Isaiah McKenzie,BUF,WR,MIA,BUF,-5.5,42.5,1.07,0.00,0.00,0.00,0.17,1.00,0.00,0.68,7.88,0.03
299,Adam Trautman,NO,TE,LV,NO,-4.0,47.5,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.78,7.95,0.03
300,Dare Ogunbowale,JAX,RB,TEN,TEN,7,44.5,0.91,0.00,0.00,0.00,2.40,6.70,0.00,0.32,2.35,0.00
301,Charlie Woerner,SF,TE,NYJ,SF,-7.0,41.5,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.91,8.97,0.00
302,Antonio Gandy-Golden,WAS,WR,ARI,ARI,7,46.5,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.47,6.32,0.04
303,Collin Johnson,JAX,WR,TEN,TEN,7,44.5,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.79,8.40,0.00
304,Patrick Laird,MIA,RB,BUF,BUF,5.5,42.5,0.78,0.00,0.00,0.00,0.40,1.47,0.01,0.65,5.72,0.00
305,Nick Westbrook-Ikhine,TEN,WR,JAX,TEN,-7.0,44.5,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.48,5.09,0.04
306,Mike Davis,CAR,RB,TB,TB,7.5,47.0,0.74,0.00,0.00,0.00,1.50,5.48,0.00,0.25,1.96,0.00
307,Joe Reed,LAC,WR,KC,KC,8.5,47.0,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.63,6.73,0.00
308,Damion Ratley,NYG,WR,CHI,CHI,4.5,42.5,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.26,4.20,0.04
309,Jakobi Meyers,NE,WR,SEA,SEA,4.5,45.0,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.53,6.54,0.00
310,Nick Vannett,DEN,TE,PIT,PIT,6.5,41.0,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.59,6.17,0.00
311,Zay Jones,LV,WR,NO,NO,4,47.5,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.57,6.17,0.00
312,KJ Hill,LAC,WR,KC,KC,8.5,47.0,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.51,6.09,0.00
313,Adam Shaheen,MIA,TE,BUF,BUF,5.5,42.5,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.65,6.01,0.00
314,Darrell Daniels,ARI,TE,WAS,ARI,-7.0,46.5,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.39,3.65,0.03
315,Marcedes Lewis,GB,TE,DET,GB,-7.0,51.0,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.33,3.62,0.03
316,Tajae Sharpe,MIN,WR,IND,IND,3.5,49.0,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.32,3.76,0.02
317,Pharoh Cooper,CAR,WR,TB,TB,7.5,47.0,0.49,0.00,0.00,0.00,0.02,0.11,0.00,0.45,4.75,0.00
318,Luke Stocker,ATL,TE,DAL,DAL,3,53.5,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.48,4.68,0.00
319,Darwin Thompson,KC,RB,LAC,KC,-8.5,47.0,0.38,0.00,0.00,0.00,0.60,2.62,0.01,0.09,0.59,0.00
320,Byron Pringle,KC,WR,LAC,KC,-8.5,47.0,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3.46,0.00
321,Chris Manhertz,CAR,TE,TB,TB,7.5,47.0,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.43,3.36,0.00
322,Alex Erickson,CIN,WR,CLE,CLE,6,44.5,0.32,0.00,0.00,0.00,0.03,0.12,0.00,0.21,2.43,0.01
323,Malik Turner,DAL,WR,ATL,DAL,-3.0,53.5,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.21,2.95,0.00
324,Keke Coutee,HOU,WR,BAL,BAL,7,49.5,0.29,0.00,0.00,0.00,0.01,0.08,0.00,0.18,2.21,0.01
325,K.J. Osborn,MIN,WR,IND,IND,3.5,49.0,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2.89,0.00
326,James Proche,BAL,WR,HOU,BAL,-7.0,49.5,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.53,0.00
327,Ty Johnson,NYJ,RB,SF,SF,7,41.5,0.25,0.00,0.00,0.00,0.40,1.50,0.00,0.15,0.96,0.00
328,Mike Boone,MIN,RB,IND,IND,3.5,49.0,0.21,0.00,0.00,0.00,0.50,2.06,0.00,0.00,0.00,0.00
329,Ryan Nall,CHI,RB,NYG,CHI,-4.5,42.5,0.05,0.00,0.00,0.00,0.10,0.46,0.00,0.00,0.00,0.00
330,Blake Jarwin,DAL,TE,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
331,Jason Huntley,PHI,RB,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
332,Jalen Hurts,PHI,QB,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
333,Trace McSorley,BAL,QB,HOU,BAL,-7.0,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
334,Nick O'Leary,LV,TE,NO,NO,4,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
335,George Kittle,SF,TE,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
336,Marlon Mack,IND,RB,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
337,Deebo Samuel,SF,WR,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
338,Ricky Seals-Jones,KC,TE,LAC,KC,-8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
339,Scottie Phillips,HOU,RB,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
340,Riley Ridley,CHI,WR,NYG,CHI,-4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
341,Joshua Perkins,PHI,TE,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
342,Dezmon Patmon,IND,WR,MIN,IND,-3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
343,Gunner Olszewski,NE,WR,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
344,KeeSean Johnson,ARI,WR,WAS,ARI,-7.0,46.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
345,Matthew Slater,NE,WR,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
346,Dalton Keene,NE,TE,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
347,Geno Smith,SEA,QB,NE,SEA,-4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,T.J. Logan,TB,RB,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
349,Easton Stick,LAC,QB,KC,KC,8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
350,Ray-Ray McCloud,PIT,WR,DEN,PIT,-6.5,41.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
351,Geoff Swaim,TEN,TE,JAX,TEN,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
352,Jason Moore,LAC,WR,KC,KC,8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
353,Malik Taylor,GB,WR,DET,GB,-7.0,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
354,Tanner Hudson,TB,TE,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
355,Michael Thomas,NO,WR,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
356,Allen Hurns,MIA,WR,BUF,BUF,5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
357,Levine Toilolo,NYG,TE,CHI,CHI,4.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
358,Trishton Jackson,LAR,WR,PHI,PHI,2,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
359,Ke'Shawn Vaughn,TB,RB,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
360,Tyler Johnson,TB,WR,CAR,TB,-7.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
361,Quez Watkins,PHI,WR,LAR,PHI,-2.0,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
362,Taiwan Jones,BUF,RB,MIA,BUF,-5.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
363,Dede Westbrook,JAX,WR,TEN,TEN,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
364,Nick Keizer,KC,TE,LAC,KC,-8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
365,Cole Wick,NO,TE,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
366,Marqise Lee,NE,WR,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
367,Damien Williams,KC,RB,LAC,KC,-8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
368,Jordan Love,GB,QB,DET,GB,-7.0,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
369,Jameis Winston,NO,QB,LV,NO,-4.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
370,Marcus Mariota,LV,QB,NO,NO,4,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
371,Deon Yelder,KC,TE,LAC,KC,-8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
372,Sean McKeon,DAL,TE,ATL,DAL,-3.0,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
373,Courtland Sutton,DEN,WR,PIT,PIT,6.5,41.0,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00
374,Denzel Mims,NYJ,WR,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
375,Buddy Howell,HOU,RB,BAL,BAL,7,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
376,James Morgan,NYJ,QB,SF,SF,7,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
377,Nick Mullens,SF,QB,NYJ,SF,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
378,JoJo Natson,CLE,WR,CIN,CLE,-6.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
379,Ameer Abdullah,MIN,RB,IND,IND,3.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
380,Josh Oliver,JAX,TE,TEN,TEN,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
381,Quincy Adeboyejo,NE,WR,SEA,SEA,4.5,45.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
382,Donald Parham,LAC,TE,KC,KC,8.5,47.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
