,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Mackensie Alexander,CIN,CB,1,4.0,2,2,4,0.0,0,0,0,0
B.J. Hill,NYG,DE,1,6.0,3,1,4,1.0,0,0,0,0
Daniel Sorensen,KC,S,1,4.0,4,0,4,0.0,0,0,0,0
Jurrell Casey,DEN,DE,1,4.0,3,1,4,0.0,0,0,0,0
Rodney McLeod,PHI,S,1,4.0,3,1,4,0.0,0,0,0,0
Johnathan Joseph,TEN,CB,1,4.0,2,2,4,0.0,0,0,0,0
Steve McLendon,NYJ,DT,1,4.0,2,2,4,0.0,0,0,0,0
K.J. Wright,SEA,LB,1,4.0,2,2,4,0.0,0,0,0,0
Kareem Jackson,DEN,S,1,6.0,3,1,4,0.0,0,1,0,0
Linval Joseph,LAC,DT,1,4.0,3,1,4,0.0,0,0,0,0
Brandon Dunn,HOU,DE,1,4.0,2,2,4,0.0,0,0,0,0
Kyle Van Noy,MIA,LB,1,6.0,4,0,4,0.0,1,0,0,0
Fletcher Cox,PHI,DT,1,4.0,3,1,4,0.0,0,0,0,0
Duron Harmon,DET,S,1,4.0,3,1,4,0.0,0,0,0,0
Jason Pierre-Paul,TB,LB,1,8.0,3,1,4,1.0,0,1,0,0
Kyler Fackrell,NYG,LB,1,6.0,4,0,4,1.0,0,0,0,0
DaQuan Jones,TEN,DT,1,4.0,3,1,4,0.0,0,0,0,0
Tanoh Kpassagnon,KC,LB,1,4.0,3,1,4,0.0,0,0,0,0
Romeo Okwara,DET,DE,1,4.0,3,1,4,0.0,0,0,0,0
Tre'Davious White,BUF,CB,1,4.0,4,0,4,0.0,0,0,0,0
Za'Darius Smith,GB,LB,1,6.0,3,1,4,1.0,0,0,0,0
Joey Bosa,LAC,DE,1,6.0,2,2,4,1.0,0,0,0,0
Vernon Butler,BUF,DT,1,6.0,2,2,4,0.0,1,0,0,0
Jordan Jenkins,NYJ,LB,1,6.0,2,2,4,1.0,0,0,0,0
Ifeadi Odenigbo,MIN,DE,1,4.0,2,2,4,0.0,0,0,0,0
Adam Gotsis,JAX,DE,1,4.0,3,1,4,0.0,0,0,0,0
Ronald Darby,WAS,CB,1,3.0,3,0,3,0.0,0,0,0,0
Malcom Brown,NO,DT,1,3.0,2,1,3,0.0,0,0,0,0
Rayshawn Jenkins,LAC,S,1,3.0,1,2,3,0.0,0,0,0,0
Matthew Ioannidis,WAS,DT,1,3.0,3,0,3,0.0,0,0,0,0
Brandon Williams,BAL,DT,1,3.0,2,1,3,0.0,0,0,0,0
Cory Littleton,LV,LB,1,3.0,2,1,3,0.0,0,0,0,0
Steven Nelson,PIT,CB,1,3.0,2,1,3,0.0,0,0,0,0
Daryl Worley,DAL,CB,1,3.0,3,0,3,0.0,0,0,0,0
Corn Elder,CAR,CB,1,3.0,1,2,3,0.0,0,0,0,0
Xavien Howard,MIA,CB,1,3.0,2,1,3,0.0,0,0,0,0
Kevin Byard,TEN,S,1,3.0,2,1,3,0.0,0,0,0,0
Bobby McCain,MIA,S,1,3.0,2,1,3,0.0,0,0,0,0
Preston Smith,GB,LB,1,4.0,2,1,3,0.5,0,0,0,0
Quinton Jefferson,BUF,DE,1,3.0,1,2,3,0.0,0,0,0,0
Denzel Perryman,LAC,LB,1,3.0,0,3,3,0.0,0,0,0,0
James Bradberry,NYG,CB,1,5.0,3,0,3,0.0,0,0,1,0
Brennan Scarlett,HOU,LB,1,3.0,0,3,3,0.0,0,0,0,0
Marcus Peters,BAL,CB,1,5.0,2,1,3,0.0,0,0,1,0
Carl Nassib,LV,LB,1,3.0,2,1,3,0.0,0,0,0,0
Christian Covington,CIN,DT,1,3.0,1,2,3,0.0,0,0,0,0
Shaq Lawson,MIA,DE,1,3.0,0,3,3,0.0,0,0,0,0
Arik Armstead,SF,DE,1,5.0,1,2,3,1.0,0,0,0,0
DeForest Buckner,IND,DT,1,6.0,1,2,3,1.5,0,0,0,0
Fabian Moreau,WAS,CB,1,3.0,2,1,3,0.0,0,0,0,0
Leonard Williams,NYG,DE,1,3.0,2,1,3,0.0,0,0,0,0
Shelby Harris,DEN,DE,1,5.0,3,0,3,0.0,1,0,0,0
Michael Brockers,LAR,DE,1,3.0,1,2,3,0.0,0,0,0,0
Akiem Hicks,CHI,DE,1,5.0,2,1,3,1.0,0,0,0,0
Devon Kennard,ARI,LB,1,5.0,3,0,3,1.0,0,0,0,0
Shamar Stephen,MIN,DT,1,3.0,3,0,3,0.0,0,0,0,0
Khalil Mack,CHI,LB,1,7.0,2,1,3,1.0,0,1,0,0
Cassius Marsh,JAX,LB,1,3.0,2,1,3,0.0,0,0,0,0
Nickell Robey-Coleman,PHI,CB,1,3.0,2,1,3,0.0,0,0,0,0
Avery Williamson,NYJ,LB,1,3.0,2,1,3,0.0,0,0,0,0
Carlos Dunlap,CIN,DE,1,3.0,1,2,3,0.0,0,0,0,0
Cameron Heyward,PIT,DE,1,4.0,1,2,3,0.5,0,0,0,0
Jason McCourty,NE,CB,1,3.0,3,0,3,0.0,0,0,0,0
Jimmy Smith,BAL,CB,1,3.0,3,0,3,0.0,0,0,0,0
Corey Peters,ARI,DT,1,5.0,2,1,3,1.0,0,0,0,0
Steven Means,ATL,DE,1,3.0,2,1,3,0.0,0,0,0,0
Mario Addison,BUF,DE,1,5.0,2,1,3,1.0,0,0,0,0
Casey Hayward,LAC,CB,1,3.0,2,1,3,0.0,0,0,0,0
Stephon Gilmore,NE,CB,1,3.0,3,0,3,0.0,0,0,0,0
