,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Dan Arnold,ARI,TE,1,2.1,0,0,0,0,0,0,0,0,2,2,21,0,1,0
Mo Alie-Cox,IND,TE,1,2.0,0,0,0,0,0,0,0,0,2,2,20,0,0,0
Demarcus Robinson,KC,WR,1,2.0,0,0,0,0,0,0,0,0,3,6,20,0,0,0
Brandin Cooks,HOU,WR,1,2.0,0,0,0,0,0,0,0,0,2,5,20,0,0,0
Jerick McKinnon,SF,RB,1,10.4,0,0,0,0,0,3,24,0,3,5,20,1,0,0
Darren Fells,HOU,TE,1,1.9,0,0,0,0,0,0,0,0,2,2,19,0,0,0
Boston Scott,PHI,RB,1,5.4,0,0,0,0,0,9,35,0,2,2,19,0,0,0
Chase Edmonds,ARI,RB,1,10.5,0,0,0,0,0,6,26,0,3,5,19,1,1,0
DaeSean Hamilton,DEN,WR,1,1.8,0,0,0,0,0,0,0,0,1,3,18,0,0,0
Zach Pascal,IND,WR,1,1.8,0,0,0,0,0,0,0,0,2,3,18,0,0,0
Zach Ertz,PHI,TE,1,7.8,0,0,0,0,0,0,0,0,3,7,18,1,0,0
Eric Ebron,PIT,TE,1,1.8,0,0,0,0,0,0,0,0,1,2,18,0,0,0
Breshad Perriman,NYJ,WR,1,1.7,0,0,0,0,0,0,0,0,3,5,17,0,0,0
Michael Thomas,NO,WR,1,1.7,0,0,0,0,0,0,0,0,3,5,17,0,0,0
C.J. Board,NYG,WR,1,1.7,0,0,0,0,0,0,0,0,2,2,17,0,0,0
John Ross,CIN,WR,1,1.7,0,0,0,0,0,0,0,0,2,5,17,0,0,0
Mike Thomas,CIN,WR,1,1.7,0,0,0,0,0,0,0,0,2,3,17,0,0,0
Josh Reynolds,LAR,WR,1,1.7,0,0,0,0,0,0,0,0,1,1,17,0,0,0
Isaiah McKenzie,BUF,WR,1,1.7,0,0,0,0,0,0,0,0,3,3,17,0,0,0
Freddie Swain,SEA,WR,1,1.7,0,0,0,0,0,0,0,0,1,1,17,0,0,0
Kaden Smith,NYG,TE,1,1.7,0,0,0,0,0,0,0,0,2,2,17,0,0,0
Deonte Harris,NO,WR,1,2.6,0,0,0,0,0,1,9,0,1,1,17,0,0,0
Ian Thomas,CAR,TE,1,1.6,0,0,0,0,0,0,0,0,2,2,16,0,0,0
Zack Moss,BUF,RB,1,8.7,0,0,0,0,0,9,11,0,3,4,16,1,0,0
Gabriel Davis,BUF,WR,1,1.6,0,0,0,0,0,0,0,0,2,2,16,0,0,0
Jalen Guyton,LAC,WR,1,1.6,0,0,0,0,0,0,0,0,1,1,16,0,0,0
Ronald Jones,TB,RB,1,8.2,0,0,0,0,0,17,66,0,2,3,16,0,0,0
D'Andre Swift,DET,RB,1,8.3,0,0,0,0,0,3,8,1,3,5,15,0,0,0
Austin Hooper,CLE,TE,1,1.5,0,0,0,0,0,0,0,0,2,2,15,0,0,0
Jalen Richard,LV,RB,1,1.5,0,0,0,0,0,0,0,0,1,1,15,0,0,0
Derrick Henry,TEN,RB,1,13.1,0,0,0,0,0,31,116,0,3,3,15,0,0,0
Emmanuel Sanders,NO,WR,1,7.5,0,0,0,0,0,0,0,0,3,5,15,1,0,0
Taysom Hill,NO,QB,1,4.6,1,1,38,0,0,3,13,0,1,1,14,0,0,0
Wayne Gallman,NYG,RB,1,1.4,0,0,0,0,0,0,0,0,1,1,14,0,0,0
Collin Johnson,JAX,WR,1,1.4,0,0,0,0,0,0,0,0,1,1,14,0,0,0
Josh Adams,NYJ,RB,1,8.2,0,0,0,0,0,2,8,1,2,2,14,0,0,0
Leonard Fournette,TB,RB,1,1.9,0,0,0,0,0,5,5,0,1,1,14,0,0,0
