,,,,Week 1 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
193,Tony Pollard,DAL,RB,LAR,-,-,,4.76,0.00,0.00,0.00,5.00,24.65,0.19,1.28,9.12,0.04
194,Dante Pettis,SF,WR,ARI,SF,-6.5,49.0,4.75,0.00,0.00,0.00,0.00,0.00,0.00,2.66,34.34,0.22
195,Jalen Guyton,LAC,WR,CIN,LAC,-2.5,41.5,4.71,0.00,0.00,0.00,0.00,0.00,0.00,2.89,36.27,0.18
196,Willie Snead,BAL,WR,CLE,BAL,-7.0,47.5,4.66,0.00,0.00,0.00,0.00,0.00,0.00,2.78,29.84,0.28
197,Josh Reynolds,LAR,WR,DAL,-,-,,4.62,0.00,0.00,0.00,0.22,1.16,0.00,2.38,31.85,0.22
198,Nyheim Hines,IND,RB,JAX,IND,-7.0,44.5,4.58,0.00,0.00,0.00,3.00,13.48,0.08,2.54,22.11,0.09
199,Darrel Williams,KC,RB,HOU,KC,-9.5,53.5,4.57,0.00,0.00,0.00,5.00,24.77,0.00,2.89,20.94,0.00
200,Laviska Shenault,JAX,WR,IND,IND,7,44.5,4.56,0.00,0.00,0.00,0.34,2.02,0.00,2.57,33.33,0.17
201,Jerick McKinnon,SF,RB,ARI,SF,-6.5,49.0,4.51,0.00,0.00,0.00,3.00,14.81,0.08,3.03,25.47,0.00
202,Irv Smith,MIN,TE,GB,MIN,-1.5,44.5,4.51,0.00,0.00,0.00,0.00,0.00,0.00,3.29,32.54,0.21
203,Damiere Byrd,NE,WR,MIA,NE,-7.0,41.5,4.46,0.00,0.00,0.00,0.00,0.00,0.00,3.68,38.64,0.10
204,Quintez Cephus,DET,WR,CHI,DET,-2.5,42.5,4.41,0.00,0.00,0.00,0.00,0.00,0.00,2.94,37.45,0.11
205,Brian Hill,ATL,RB,SEA,ATL,-1.0,49.5,4.29,0.00,0.00,0.00,5.40,22.96,0.14,1.79,11.53,0.00
206,Adrian Peterson,DET,RB,CHI,DET,-2.5,42.5,4.28,0.00,0.00,0.00,7.00,27.57,0.23,0.24,1.42,0.00
207,Trent Taylor,SF,WR,ARI,SF,-6.5,49.0,4.25,0.00,0.00,0.00,0.00,0.00,0.00,3.57,35.89,0.11
208,Kyle Rudolph,MIN,TE,GB,MIN,-1.5,44.5,4.24,0.00,0.00,0.00,0.00,0.00,0.00,2.86,26.83,0.26
209,AJ Dillon,GB,RB,MIN,MIN,1.5,44.5,4.23,0.00,0.00,0.00,7.00,28.07,0.19,0.41,2.86,0.00
210,J.D. McKissic,WAS,RB,PHI,PHI,5.5,41.5,4.09,0.00,0.00,0.00,4.50,15.86,0.00,2.69,25.03,0.00
211,J.J. Arcega-Whiteside,PHI,WR,WAS,PHI,-5.5,41.5,3.95,0.00,0.00,0.00,0.00,0.00,0.00,2.21,29.28,0.17
212,Gerald Everett,LAR,TE,DAL,-,-,,3.91,0.00,0.00,0.00,0.00,0.00,0.00,2.78,26.54,0.21
213,Jamaal Williams,GB,RB,MIN,MIN,1.5,44.5,3.90,0.00,0.00,0.00,4.30,15.86,0.12,1.62,12.30,0.06
214,Greg Ward,PHI,WR,WAS,PHI,-5.5,41.5,3.82,0.00,0.00,0.00,0.22,1.09,0.00,2.91,32.92,0.07
215,Demarcus Robinson,KC,WR,HOU,KC,-9.5,53.5,3.80,0.00,0.00,0.00,0.00,0.00,0.00,2.10,28.41,0.16
216,Justin Jackson,LAC,RB,CIN,LAC,-2.5,41.5,3.73,0.00,0.00,0.00,5.00,20.64,0.14,1.03,8.23,0.00
217,Jordan Reed,SF,TE,ARI,SF,-6.5,49.0,3.68,0.00,0.00,0.00,0.00,0.00,0.00,2.45,25.42,0.19
218,Jordan Akins,HOU,TE,KC,KC,9.5,53.5,3.66,0.00,0.00,0.00,0.00,0.00,0.00,2.43,26.39,0.17
219,Joshua Kelley,LAC,RB,CIN,LAC,-2.5,41.5,3.65,0.00,0.00,0.00,5.00,20.15,0.16,0.89,6.72,0.00
220,David Moore,SEA,WR,ATL,ATL,1,49.5,3.64,0.00,0.00,0.00,0.20,1.36,0.00,1.56,23.06,0.20
221,Ted Ginn,CHI,WR,DET,DET,2.5,42.5,3.60,0.00,0.00,0.00,0.16,0.82,0.00,1.89,30.40,0.08
222,Benny Snell,PIT,RB,NYG,PIT,-6.0,44.0,3.59,0.00,0.00,0.00,6.00,26.23,0.09,0.60,4.27,0.00
223,LeSean McCoy,TB,RB,NO,NO,4,48.5,3.56,0.00,0.00,0.00,3.40,14.43,0.13,1.89,13.40,0.00
224,Marvin Hall,DET,WR,CHI,DET,-2.5,42.5,3.54,0.00,0.00,0.00,0.00,0.00,0.00,1.58,29.97,0.09
225,C.J. Uzomah,CIN,TE,LAC,LAC,2.5,41.5,3.54,0.00,0.00,0.00,0.00,0.00,0.00,2.90,28.16,0.12
226,Robert Tonyan,GB,TE,MIN,MIN,1.5,44.5,3.52,0.00,0.00,0.00,0.00,0.00,0.00,2.71,25.64,0.16
227,Adam Humphries,TEN,WR,DEN,TEN,-3.0,41.5,3.51,0.00,0.00,0.00,0.07,0.21,0.00,2.39,26.47,0.14
228,Jalen Richard,LV,RB,CAR,LV,-3.0,48.0,3.45,0.00,0.00,0.00,2.00,8.96,0.00,3.07,25.53,0.00
229,Chris Hogan,NYJ,WR,BUF,BUF,6.5,39.0,3.40,0.00,0.00,0.00,0.00,0.00,0.00,2.43,24.98,0.15
230,Vance McDonald,PIT,TE,NYG,PIT,-6.0,44.0,3.37,0.00,0.00,0.00,0.00,0.00,0.00,2.31,24.11,0.16
231,Nick Boyle,BAL,TE,CLE,BAL,-7.0,47.5,3.35,0.00,0.00,0.00,0.00,0.00,0.00,2.43,26.93,0.11
232,Giovani Bernard,CIN,RB,LAC,LAC,2.5,41.5,3.34,0.00,0.00,0.00,3.00,11.64,0.06,1.86,15.18,0.05
233,Tim Patrick,DEN,WR,TEN,TEN,3,41.5,3.32,0.00,0.00,0.00,0.00,0.00,0.00,2.36,33.21,0.00
234,Tee Higgins,CIN,WR,LAC,LAC,2.5,41.5,3.31,0.00,0.00,0.00,0.00,0.00,0.00,1.79,24.67,0.14
235,Frank Gore,NYJ,RB,BUF,BUF,6.5,39.0,3.30,0.00,0.00,0.00,7.30,21.59,0.08,0.92,6.63,0.00
236,Rashard Higgins,CLE,WR,BAL,BAL,7,47.5,3.30,0.00,0.00,0.00,0.00,0.00,0.00,2.13,28.16,0.08
237,David Njoku,CLE,TE,BAL,BAL,7,47.5,3.24,0.00,0.00,0.00,0.00,0.00,0.00,2.08,22.18,0.17
238,Ryan Nall,CHI,RB,DET,DET,2.5,42.5,3.20,0.00,0.00,0.00,4.00,15.92,0.17,0.67,5.91,0.00
239,Anthony Firkser,TEN,TE,DEN,TEN,-3.0,41.5,3.17,0.00,0.00,0.00,0.00,0.00,0.00,1.77,21.46,0.17
240,Bisi Johnson,MIN,WR,GB,MIN,-1.5,44.5,3.13,0.00,0.00,0.00,0.07,0.46,0.00,2.52,26.66,0.07
241,Auden Tate,CIN,WR,LAC,LAC,2.5,41.5,3.09,0.00,0.00,0.00,0.00,0.00,0.00,1.57,23.71,0.12
242,Devin Asiasi,NE,TE,MIA,NE,-7.0,41.5,3.08,0.00,0.00,0.00,0.00,0.00,0.00,2.12,22.38,0.14
243,Damion Ratley,NYG,WR,PIT,PIT,6,44.0,3.07,0.00,0.00,0.00,0.00,0.00,0.00,1.18,18.73,0.20
244,Gus Edwards,BAL,RB,CLE,BAL,-7.0,47.5,2.97,0.00,0.00,0.00,3.90,21.89,0.11,0.17,1.25,0.00
245,Will Dissly,SEA,TE,ATL,ATL,1,49.5,2.95,0.00,0.00,0.00,0.00,0.00,0.00,1.49,18.13,0.19
246,Chase Claypool,PIT,WR,NYG,PIT,-6.0,44.0,2.92,0.00,0.00,0.00,0.00,0.00,0.00,1.35,18.98,0.17
247,Jason Huntley,PHI,RB,WAS,PHI,-5.5,41.5,2.89,0.00,0.00,0.00,2.20,11.51,0.00,1.24,17.39,0.00
248,Ito Smith,ATL,RB,SEA,ATL,-1.0,49.5,2.80,0.00,0.00,0.00,1.80,7.88,0.08,1.42,11.69,0.06
249,Dontrelle Inman,WAS,WR,PHI,PHI,5.5,41.5,2.78,0.00,0.00,0.00,0.00,0.00,0.00,2.39,27.76,0.00
250,Darren Fells,HOU,TE,KC,KC,9.5,53.5,2.76,0.00,0.00,0.00,0.00,0.00,0.00,1.73,17.96,0.16
251,Jace Sternberger,GB,TE,MIN,MIN,1.5,44.5,2.76,0.00,0.00,0.00,0.00,0.00,0.00,1.65,18.62,0.15
252,Cordarrelle Patterson,CHI,WR,DET,DET,2.5,42.5,2.72,0.00,0.00,0.00,1.82,9.11,0.09,0.74,7.25,0.09
253,Kaden Smith,NYG,TE,PIT,PIT,6,44.0,2.59,0.00,0.00,0.00,0.00,0.00,0.00,1.77,18.68,0.12
254,Chase Edmonds,ARI,RB,SF,SF,6.5,49.0,2.57,0.00,0.00,0.00,4.50,16.62,0.03,1.08,7.26,0.00
255,Durham Smythe,MIA,TE,NE,NE,7,41.5,2.49,0.00,0.00,0.00,0.00,0.00,0.00,1.82,19.50,0.09
256,Andy Isabella,ARI,WR,SF,SF,6.5,49.0,2.48,0.00,0.00,0.00,0.23,1.34,0.00,0.95,13.81,0.16
257,Keelan Cole,JAX,WR,IND,IND,7,44.5,2.47,0.00,0.00,0.00,0.11,0.67,0.00,1.40,17.42,0.11
258,Jakobi Meyers,NE,WR,MIA,NE,-7.0,41.5,2.29,0.00,0.00,0.00,0.00,0.00,0.00,1.84,22.86,0.00
259,DaeSean Hamilton,DEN,WR,TEN,TEN,3,41.5,2.28,0.00,0.00,0.00,0.00,0.00,0.00,1.60,19.16,0.06
260,Jason Witten,LV,TE,CAR,LV,-3.0,48.0,2.24,0.00,0.00,0.00,0.00,0.00,0.00,1.82,16.96,0.09
261,Maxx Williams,ARI,TE,SF,SF,6.5,49.0,2.20,0.00,0.00,0.00,0.00,0.00,0.00,1.15,14.17,0.13
262,Taysom Hill,NO,QB,TB,NO,-4.0,48.5,2.19,2.76,0.15,0.00,0.80,4.04,0.05,0.33,3.26,0.07
263,James O'Shaughnessy,JAX,TE,IND,IND,7,44.5,2.15,0.00,0.00,0.00,0.00,0.00,0.00,1.45,15.54,0.10
264,Demetrius Harris,CHI,TE,DET,DET,2.5,42.5,2.13,0.00,0.00,0.00,0.00,0.00,0.00,1.64,16.45,0.08
265,Mo Alie-Cox,IND,TE,JAX,IND,-7.0,44.5,2.08,0.00,0.00,0.00,0.00,0.00,0.00,2.27,20.84,0.00
266,Cameron Brate,TB,TE,NO,NO,4,48.5,2.03,0.00,0.00,0.00,0.00,0.00,0.00,1.37,13.07,0.12
267,Jesse James,DET,TE,CHI,DET,-2.5,42.5,2.02,0.00,0.00,0.00,0.00,0.00,0.00,1.82,20.17,0.00
268,Josh Hill,NO,TE,TB,NO,-4.0,48.5,1.93,0.00,0.00,0.00,0.00,0.00,0.00,1.36,12.67,0.11
269,Harrison Bryant,CLE,TE,BAL,BAL,7,47.5,1.93,0.00,0.00,0.00,0.00,0.00,0.00,1.32,14.46,0.08
270,Devin Duvernay,BAL,WR,CLE,BAL,-7.0,47.5,1.90,0.00,0.00,0.00,0.00,0.00,0.00,1.08,13.04,0.10
271,Jeremy Sprinkle,WAS,TE,PHI,PHI,5.5,41.5,1.87,0.00,0.00,0.00,0.00,0.00,0.00,1.29,13.86,0.08
272,Tyler Kroft,BUF,TE,NYJ,BUF,-6.5,39.0,1.87,0.00,0.00,0.00,0.00,0.00,0.00,1.34,13.87,0.08
273,Ryan Griffin,NYJ,TE,BUF,BUF,6.5,39.0,1.84,0.00,0.00,0.00,0.00,0.00,0.00,1.17,11.78,0.11
274,Gabriel Davis,BUF,WR,NYJ,BUF,-6.5,39.0,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.92,13.91,0.07
275,Jakeem Grant,MIA,WR,NE,NE,7,41.5,1.80,0.00,0.00,0.00,0.18,0.82,0.00,0.93,13.60,0.06
276,Jaeden Graham,ATL,TE,SEA,ATL,-1.0,49.5,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.85,12.76,0.08
277,Jaylen Samuels,PIT,RB,NYG,PIT,-6.0,44.0,1.71,0.00,0.00,0.00,1.00,3.92,0.05,1.03,7.74,0.04
278,Bennie Fowler,NO,WR,TB,NO,-4.0,48.5,1.66,0.00,0.00,0.00,0.00,0.00,0.00,1.18,12.39,0.07
279,Nelson Agholor,LV,WR,CAR,LV,-3.0,48.0,1.66,0.00,0.00,0.00,0.09,0.36,0.00,1.09,10.79,0.09
280,Cedrick Wilson,DAL,WR,LAR,-,-,,1.56,0.00,0.00,0.00,0.00,0.00,0.00,1.09,12.63,0.05
281,Dion Lewis,NYG,RB,PIT,PIT,6,44.0,1.55,0.00,0.00,0.00,2.60,10.16,0.00,0.91,5.37,0.00
282,Seth Roberts,CAR,WR,LV,LV,3,48.0,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.94,11.95,0.05
283,Mike Davis,CAR,RB,LV,LV,3,48.0,1.50,0.00,0.00,0.00,2.50,10.47,0.00,0.57,4.49,0.00
284,Royce Freeman,DEN,RB,TEN,TEN,3,41.5,1.46,0.00,0.00,0.00,1.40,5.33,0.04,0.61,5.04,0.03
285,Cole Kmet,CHI,TE,DET,DET,2.5,42.5,1.46,0.00,0.00,0.00,0.00,0.00,0.00,1.11,10.95,0.06
286,Myles Gaskin,MIA,RB,NE,NE,7,41.5,1.42,0.00,0.00,0.00,1.50,5.29,0.07,0.68,4.74,0.00
287,Antonio Gandy-Golden,WAS,WR,PHI,PHI,5.5,41.5,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.77,10.31,0.06
288,Dan Arnold,ARI,TE,SF,SF,6.5,49.0,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.76,9.77,0.06
289,Jacob Hollister,SEA,TE,ATL,ATL,1,49.5,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.80,7.84,0.09
290,Deonte Harris,NO,WR,TB,NO,-4.0,48.5,1.30,0.00,0.00,0.00,0.36,2.02,0.03,0.63,7.37,0.03
291,Joe Reed,LAC,WR,CIN,LAC,-2.5,41.5,1.20,0.00,0.00,0.00,0.00,0.00,0.00,1.13,12.04,0.00
292,Isaiah Ford,MIA,WR,NE,NE,7,41.5,1.20,0.00,0.00,0.00,0.11,0.69,0.00,1.11,11.26,0.00
293,Josiah Deguara,GB,TE,MIN,MIN,1.5,44.5,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.93,9.42,0.04
294,KJ Hill,LAC,WR,CIN,LAC,-2.5,41.5,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.96,11.48,0.00
295,Darwin Thompson,KC,RB,HOU,KC,-9.5,53.5,1.14,0.00,0.00,0.00,1.50,7.49,0.02,0.40,2.71,0.00
296,Darnell Mooney,CHI,WR,DET,DET,2.5,42.5,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.68,9.45,0.03
297,Ross Dwelley,SF,TE,ARI,SF,-6.5,49.0,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.81,7.70,0.06
298,John Hightower,PHI,WR,WAS,PHI,-5.5,41.5,1.08,0.00,0.00,0.00,0.07,0.45,0.00,0.58,9.11,0.02
299,Malik Turner,DAL,WR,LAR,-,-,,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.76,10.78,0.00
300,Adam Trautman,NO,TE,TB,NO,-4.0,48.5,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.81,8.18,0.04
301,Byron Pringle,KC,WR,HOU,KC,-9.5,53.5,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.76,9.87,0.00
302,Richie James,SF,WR,ARI,SF,-6.5,49.0,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.71,9.89,0.00
303,Drew Sample,CIN,TE,LAC,LAC,2.5,41.5,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.78,7.02,0.04
304,James Proche,BAL,WR,CLE,BAL,-7.0,47.5,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.68,8.74,0.00
305,Andre Roberts,BUF,WR,NYJ,BUF,-6.5,39.0,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.71,7.78,0.00
306,Jordan Wilkins,IND,RB,JAX,IND,-7.0,44.5,0.72,0.00,0.00,0.00,1.00,4.73,0.03,0.09,0.64,0.00
307,Kalif Raymond,TEN,WR,DEN,TEN,-3.0,41.5,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.48,5.67,0.02
308,Nick Vannett,DEN,TE,TEN,TEN,3,41.5,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.65,6.74,0.00
309,Zay Jones,LV,WR,CAR,LV,-3.0,48.0,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.60,6.56,0.00
310,Mack Hollins,MIA,WR,NE,NE,7,41.5,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.47,6.19,0.00
311,Collin Johnson,JAX,WR,IND,IND,7,44.5,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.58,6.18,0.00
312,Patrick Laird,MIA,RB,NE,NE,7,41.5,0.59,0.00,0.00,0.00,0.70,2.37,0.01,0.33,2.93,0.00
313,Dalton Schultz,DAL,TE,LAR,-,-,,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.60,5.74,0.00
314,Travis Homer,SEA,RB,ATL,ATL,1,49.5,0.57,0.00,0.00,0.00,0.70,3.13,0.00,0.50,2.55,0.00
315,Virgil Green,LAC,TE,CIN,LAC,-2.5,41.5,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.67,5.55,0.00
316,Pharoh Cooper,CAR,WR,LV,LV,3,48.0,0.56,0.00,0.00,0.00,0.03,0.13,0.00,0.52,5.45,0.00
317,Foster Moreau,LV,TE,CAR,LV,-3.0,48.0,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.35,3.65,0.03
318,Javon Wims,CHI,WR,DET,DET,2.5,42.5,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.50,5.54,0.00
319,Adam Shaheen,MIA,TE,NE,NE,7,41.5,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.60,5.52,0.00
320,Wayne Gallman,NYG,RB,PIT,PIT,6,44.0,0.55,0.00,0.00,0.00,1.00,3.77,0.00,0.23,1.68,0.00
321,Blake Bell,DAL,TE,LAR,-,-,,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.39,4.29,0.02
322,Mike Boone,MIN,RB,GB,MIN,-1.5,44.5,0.52,0.00,0.00,0.00,1.00,4.42,0.00,0.26,0.82,0.00
323,Tajae Sharpe,MIN,WR,GB,MIN,-1.5,44.5,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.35,4.02,0.02
324,Freddie Swain,SEA,WR,ATL,ATL,1,49.5,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.37,4.95,0.00
325,Luke Stocker,ATL,TE,SEA,ATL,-1.0,49.5,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.51,4.91,0.00
326,J.J. Taylor,NE,RB,MIA,NE,-7.0,41.5,0.48,0.00,0.00,0.00,0.70,3.03,0.00,0.31,1.73,0.00
327,Isaiah McKenzie,BUF,WR,NYJ,BUF,-6.5,39.0,0.43,0.00,0.00,0.00,0.07,0.42,0.00,0.28,3.31,0.01
328,Marcedes Lewis,GB,TE,MIN,MIN,1.5,44.5,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.27,2.95,0.02
329,Tyler Ervin,GB,RB,MIN,MIN,1.5,44.5,0.40,0.00,0.00,0.00,0.60,2.79,0.00,0.13,1.19,0.00
330,Chris Manhertz,CAR,TE,LV,LV,3,48.0,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.49,3.85,0.00
331,Ke'Shawn Vaughn,TB,RB,NO,NO,4,48.5,0.38,0.00,0.00,0.00,0.40,1.56,0.01,0.14,1.01,0.01
332,DeAndre Carter,HOU,WR,KC,KC,9.5,53.5,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.31,3.42,0.00
333,K.J. Osborn,MIN,WR,GB,MIN,-1.5,44.5,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.24,3.08,0.00
334,Tyrie Cleveland,DEN,WR,TEN,TEN,3,41.5,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.27,2.90,0.00
335,Alex Erickson,CIN,WR,LAC,LAC,2.5,41.5,0.27,0.00,0.00,0.00,0.02,0.10,0.00,0.17,1.97,0.01
336,Charlie Woerner,SF,TE,ARI,SF,-6.5,49.0,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.23,2.34,0.00
337,Devontae Booker,LV,RB,CAR,LV,-3.0,48.0,0.21,0.00,0.00,0.00,0.30,1.35,0.00,0.08,0.70,0.00
338,Mike Thomas,CIN,WR,LAC,LAC,2.5,41.5,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.33,0.01
339,Khari Blasingame,TEN,RB,DEN,TEN,-3.0,41.5,0.18,0.00,0.00,0.00,0.20,0.69,0.00,0.16,1.11,0.00
340,Ty Johnson,NYJ,RB,BUF,BUF,6.5,39.0,0.18,0.00,0.00,0.00,0.30,1.26,0.00,0.08,0.53,0.00
341,Marlon Mack,IND,RB,JAX,IND,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
342,Trace McSorley,BAL,QB,CLE,BAL,-7.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
343,Matthew Slater,NE,WR,MIA,NE,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
344,Easton Stick,LAC,QB,CIN,LAC,-2.5,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
345,Dezmon Patmon,IND,WR,JAX,IND,-7.0,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
346,Colin Thompson,CAR,TE,LV,LV,3,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
347,Jameis Winston,NO,QB,TB,NO,-4.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,Dare Ogunbowale,JAX,RB,IND,IND,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
349,DeAndrew White,BAL,WR,CLE,BAL,-7.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
350,Damien Williams,KC,RB,HOU,KC,-9.5,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
351,Antoine Wesley,BAL,WR,CLE,BAL,-7.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
352,Dwayne Washington,NO,RB,TB,NO,-4.0,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
353,Eric Tomlinson,NYG,TE,PIT,PIT,6,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
354,Jason Moore,LAC,WR,CIN,LAC,-2.5,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
355,Deon Yelder,KC,TE,HOU,KC,-9.5,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
356,Nick Mullens,SF,QB,ARI,SF,-6.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
357,Nathan Peterman,LV,QB,CAR,LV,-3.0,48.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
358,Gunner Olszewski,NE,WR,MIA,NE,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
359,Miles Sanders,PHI,RB,WAS,PHI,-5.5,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
360,La'Mical Perine,NYJ,RB,BUF,BUF,6.5,39.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
361,Golden Tate,NYG,WR,PIT,PIT,6,44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
362,Riley Ridley,CHI,WR,DET,DET,2.5,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
363,Damien Harris,NE,RB,MIA,NE,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
364,Ricky Seals-Jones,KC,TE,HOU,KC,-9.5,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
365,Chad Henne,KC,QB,HOU,KC,-9.5,53.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
366,Geno Smith,SEA,QB,ATL,ATL,1,49.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
367,Justice Hill,BAL,RB,CLE,BAL,-7.0,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
368,Courtland Sutton,DEN,WR,TEN,TEN,3,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
369,Isaiah Hodgins,BUF,WR,NYJ,BUF,-6.5,39.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
370,Sean McKeon,DAL,TE,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
371,Brycen Hopkins,LAR,TE,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
372,Denzel Mims,NYJ,WR,BUF,BUF,6.5,39.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
373,Brian Hoyer,NE,QB,MIA,NE,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
374,James Morgan,NYJ,QB,BUF,BUF,6.5,39.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
375,Jalen Hurd,SF,WR,ARI,SF,-6.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
376,JoJo Natson,CLE,WR,BAL,BAL,7,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
377,John Hurst,TB,WR,NO,NO,4,48.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
378,Josh Oliver,JAX,TE,IND,IND,7,44.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
379,Ryan Izzo,NE,TE,MIA,NE,-7.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
380,Donald Parham,LAC,TE,CIN,LAC,-2.5,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
381,Alshon Jeffery,PHI,WR,WAS,PHI,-5.5,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
382,Donovan Peoples-Jones,CLE,WR,BAL,BAL,7,47.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
383,KeeSean Johnson,ARI,WR,SF,SF,6.5,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
384,Senorise Perry,TEN,RB,DEN,TEN,-3.0,41.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
385,Taiwan Jones,BUF,RB,NYJ,BUF,-6.5,39.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
