,,,,Receiving,,,,Red Zone Targets,,,
Ryan Switzer,PIT,WR,9,8,27,0,11,0,0,0,0.00
Pharaoh Brown,CLE,TE,9,2,27,0,3,1,0,0,1.39
Cam Sims,WAS,WR,7,2,27,0,3,0,0,0,0.00
Tanner Hudson,TB,TE,9,2,26,0,5,3,2,1,4.35
Johnny Mundt,LAR,TE,13,4,26,0,7,0,0,0,0.00
Dan Arnold,NO,TE,2,2,25,0,4,0,0,0,0.00
Russell Shepard,NYG,WR,3,3,25,0,8,3,1,1,4.29
Darren Sproles,PHI,RB,6,6,24,0,10,2,0,0,2.63
Deonte Harris,NO,WR,14,6,24,0,6,0,0,0,0.00
Benny Snell,PIT,RB,13,3,23,0,4,0,0,0,0.00
Nick Bellore,SEA,FB,14,2,23,1,2,1,1,1,1.22
Devine Ozigbo,JAX,RB,10,3,23,0,5,0,0,0,0.00
Justin Jackson,LAC,RB,7,9,22,0,11,3,1,0,3.75
Spencer Ware,KC,RB,3,5,22,0,7,2,1,0,3.17
Kenjon Barner,ATL,RB,14,6,22,0,8,0,0,0,0.00
Mike Davis,CHI,RB,7,7,22,0,8,2,0,0,2.99
Anthony Sherman,KC,FB,16,2,22,0,3,0,0,0,0.00
Da'Mari Scott,NYG,WR,5,2,22,0,3,0,0,0,0.00
Michael Crabtree,ARI,WR,2,4,22,0,5,1,1,0,1.43
Johnny Holton,PIT,WR,16,3,21,0,15,0,0,0,0.00
Chris Moore,BAL,WR,14,3,21,0,5,0,0,0,0.00
Eric Saubert,CHI,TE,2,2,21,0,3,0,0,0,0.00
Fred Brown,DEN,WR,13,2,21,0,3,0,0,0,0.00
Andre Roberts,BUF,WR,13,3,20,0,7,0,0,0,0.00
Josh Bellamy,NYJ,WR,7,2,20,0,3,0,0,0,0.00
David Blough,DET,QB,5,1,19,1,1,1,0,0,1.56
Tra Carson,GB,RB,2,4,18,0,4,0,0,0,0.00
Marqise Lee,JAX,WR,6,3,18,0,4,0,0,0,0.00
Stanley Morgan,CIN,WR,11,3,18,0,10,3,2,0,4.00
Donte Moncrief,PIT,WR,5,4,18,0,15,2,1,1,4.55
Mike Boone,MIN,RB,16,3,17,0,4,1,0,0,2.08
Ashton Dulin,IND,WR,13,2,17,0,2,0,0,0,0.00
Nick Bawden,DET,FB,10,4,17,0,6,1,1,0,1.56
Darius Jennings,TEN,WR,8,2,17,0,5,1,0,0,2.08
Malcolm Brown,LAR,RB,14,2,16,0,6,0,0,0,0.00
Rashard Davis,TEN,WR,1,1,16,0,1,0,0,0,0.00
Ventell Bryant,DAL,WR,12,1,15,1,1,1,0,0,1.69
Josh Oliver,JAX,TE,4,3,15,0,6,1,1,0,1.43
Michael Walker,JAX,WR,7,2,15,0,3,0,0,0,0.00
Troymaine Pope,LAC,RB,14,2,14,1,3,1,0,0,1.25
Mike Thomas,LAR,WR,16,2,14,0,5,0,0,0,0.00
Ryan Grant,OAK,WR,2,4,14,0,9,2,1,0,3.13
Cethan Carter,CIN,TE,15,2,13,1,3,1,1,0,1.33
T.J. Logan,TB,RB,12,2,13,0,3,0,0,0,0.00
Keith Smith,ATL,FB,16,1,13,0,4,0,0,0,0.00
Isaac Nauta,DET,TE,6,2,13,0,3,1,1,1,1.56
Cody Hollister,TEN,WR,5,2,13,0,2,0,0,0,0.00
Zach Zenner,ARI,RB,3,1,13,0,1,0,0,0,0.00
Jeff Smith,NYJ,WR,1,1,12,0,2,0,0,0,0.00
Sean Culkin,LAC,TE,4,1,12,0,2,1,0,0,1.25
Tyler Ervin,GB,RB,4,2,11,0,4,0,0,0,0.00
Scott Simonson,NYG,TE,5,2,11,0,2,1,0,0,1.43
Chris Manhertz,CAR,TE,15,1,11,0,1,0,0,0,0.00
Robert Davis,WAS,WR,3,1,11,0,2,0,0,0,0.00
Antony Auclair,TB,TE,8,1,11,0,3,1,0,0,1.45
John Ursua,SEA,WR,3,1,11,0,1,1,0,0,1.22
Levine Toilolo,SF,TE,13,2,10,0,2,1,1,1,1.35
Kerrith Whyte,PIT,RB,6,1,9,0,1,0,0,0,0.00
Javorius Allen,NYG,RB,10,1,9,0,2,1,0,0,1.43
Taiwan Jones,HOU,RB,11,1,9,0,1,0,0,0,0.00
Elijhaa Penny,NYG,FB,16,2,9,0,4,0,0,0,0.00
Paul Perkins,DET,RB,4,1,9,0,1,0,0,0,0.00
Ben Koyack,JAX,TE,11,1,9,0,3,0,0,0,0.00
Austin Carr,NO,WR,6,1,9,0,4,1,0,0,1.16
Jordan Thomas,HOU,TE,5,1,8,0,3,1,1,1,1.61
Ricky Ortiz,NO,FB,1,1,8,0,1,0,0,0,0.00
Qadree Ollison,ATL,RB,8,1,7,0,2,0,0,0,0.00
Chris Herndon,NYJ,TE,1,1,7,0,2,0,0,0,0.00
Dwayne Harris,OAK,WR,3,1,7,0,1,0,0,0,0.00
Deshaun Watson,HOU,QB,15,1,6,1,1,1,1,0,1.61
Jeff Driskel,DET,QB,3,1,6,0,1,0,0,0,0.00
Alex Armah,CAR,FB,16,2,6,0,2,1,0,0,1.56
Dwayne Washington,NO,RB,16,1,6,0,1,0,0,0,0.00
De'Anthony Thomas,KC,WR,6,1,6,0,2,0,0,0,0.00
Zach Zenner,NO,RB,1,1,6,0,2,0,0,0,0.00
Dalton Schultz,DAL,TE,16,1,6,0,2,0,0,0,0.00
Jaleel Scott,BAL,WR,3,1,6,0,3,1,1,1,1.52
Robert Davis,PHI,WR,3,1,6,0,3,0,0,0,0.00
Bo Scarbrough,DET,RB,6,1,5,0,4,0,0,0,0.00
Charles Jones,JAX,TE,4,1,5,0,1,0,0,0,0.00
Jakob Johnson,NE,FB,4,1,5,0,2,0,0,0,0.00
Tyrone Swoopes,SEA,TE,5,1,5,0,1,0,0,0,0.00
Krishawn Hogan,NO,WR,8,1,4,0,1,0,0,0,0.00
Zach Gentry,PIT,TE,4,1,4,0,1,0,0,0,0.00
Roosevelt Nix,PIT,FB,3,2,4,0,3,0,0,0,0.00
Darrell Daniels,ARI,TE,11,1,4,0,3,0,0,0,0.00
Xavier Grimble,PIT,TE,3,1,3,0,3,0,0,0,0.00
Cyril Grayson,TB,WR,2,1,3,0,1,0,0,0,0.00
Jacoby Brissett,IND,QB,15,1,2,0,1,1,1,1,1.47
Jason Sanders,MIA,K,16,1,1,1,1,1,1,1,1.37
Wes Hills,DET,RB,1,2,1,0,2,0,0,0,0.00
Jon Hilliman,NYG,RB,3,3,1,0,4,0,0,0,0.00
Senorise Perry,BUF,RB,11,1,1,0,1,1,0,0,2.04
Eric Tomlinson,NE,TE,2,1,1,0,1,0,0,0,0.00
Darrius Shepherd,GB,WR,6,1,1,0,2,2,1,0,2.50
Kirk Cousins,MIN,QB,15,0,0,0,1,0,0,0,0.00
Tyrod Taylor,LAC,QB,8,0,0,0,1,0,0,0,0.00
Jay Ajayi,PHI,RB,3,0,0,0,1,0,0,0,0.00
Dalyn Dawkins,TEN,RB,2,0,0,0,1,0,0,0,0.00
Lil'Jordan Humphrey,NO,WR,5,0,0,0,1,0,0,0,0.00
Jason Vander Laan,NO,TE,2,0,0,0,1,0,0,0,0.00
Mack Hollins,MIA,WR,4,0,0,0,1,0,0,0,0.00
Jalen Guyton,LAC,WR,3,0,0,0,2,0,0,0,0.00
Jace Sternberger,GB,TE,6,0,0,0,1,1,0,0,1.25
Travis Fulgham,DET,WR,3,0,0,0,3,0,0,0,0.00
Chad Williams,IND,WR,1,0,0,0,1,0,0,0,0.00
Taywan Taylor,CLE,WR,3,0,0,0,1,0,0,0,0.00
Jamize Olawale,DAL,FB,16,0,0,0,2,0,0,0,0.00
Michael Burton,WAS,FB,10,0,0,0,1,1,1,1,1.56
Jamal Agnew,DET,WR,13,1,-2,0,2,0,0,0,0.00
Andy Dalton,CIN,QB,13,1,-4,0,1,0,0,0,0.00
Quincy Enunwa,NYJ,WR,1,1,-4,0,3,0,0,0,0.00
