,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
Jason Huntley,PHI,RB,1,1,1,1.0,0,0,0,0,0.00,0,0,0
Dion Lewis,NYG,RB,1,1,1,1.0,0,0,0,0,0.00,0,0,0
Drew Brees,NO,QB,1,2,0,0.0,0,1,0,0,7.69,0,0,0
Royce Freeman,DEN,RB,1,1,0,0.0,0,1,1,1,14.29,0,0,0
Matt Ryan,ATL,QB,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Calvin Ridley,ATL,WR,1,1,-1,-1.0,0,1,0,0,16.67,0,0,0
Allen Robinson,CHI,WR,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Patrick Ricard,BAL,FB,1,1,-1,-1.0,0,1,1,0,12.50,0,0,0
Robert Griffin,BAL,QB,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Travis Homer,SEA,RB,1,3,-1,-0.3,0,1,1,1,33.33,0,0,0
J.D. McKissic,WAS,RB,1,3,-2,-0.7,0,1,0,0,6.25,0,0,0
Tim Boyle,GB,QB,1,2,-2,-1.0,0,0,0,0,0.00,0,0,0
Ty Montgomery,NO,RB,1,1,-4,-4.0,0,1,1,0,7.69,0,0,0
