,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Zach Miller,CHI,TE,10,64,47,486,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Hunter Henry,SD,TE,15,53,36,478,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Allen Hurns,JAX,WR,11,76,35,477,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Devonta Freeman,ATL,RB,16,65,54,462,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Cordarrelle Patterson,MIN,WR,16,70,52,453,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Spencer Ware,KC,RB,14,42,33,447,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Michael Floyd,ARI,WR,13,70,33,446,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ryan Griffin,HOU,TE,16,74,50,442,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Sammie Coates,PIT,WR,14,49,21,435,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Marquise Goodwin,BUF,WR,15,68,29,431,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Sammy Watkins,BUF,WR,8,52,28,430,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Darren Sproles,PHI,RB,15,71,52,427,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tevin Coleman,ATL,RB,13,40,31,421,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Melvin Gordon,SD,RB,13,57,41,419,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kendall Wright,TEN,WR,11,43,29,416,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Corey Coleman,CLE,WR,10,73,33,413,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Quinton Patton,SF,WR,14,63,37,408,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Dwayne Allen,IND,TE,14,52,35,406,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Malcolm Mitchell,NE,WR,14,48,32,401,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Seth Roberts,OAK,WR,16,77,38,397,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Will Tye,NYG,TE,16,70,48,395,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tyler Eifert,CIN,TE,8,47,29,394,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Dorial Green-Beckham,PHI,WR,15,74,36,392,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Vance McDonald,SF,TE,11,45,24,391,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jermaine Gresham,ARI,TE,16,61,37,391,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Bilal Powell,NYJ,RB,16,75,58,388,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
