,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Kevin White,CHI,WR,4,19,187,0,36,5,1,1,6.76
Chris Ivory,JAX,RB,11,20,186,0,28,1,0,0,1.37
Charone Peake,NYJ,WR,15,19,186,0,35,3,1,0,4.17
Robert Turbin,IND,RB,15,26,179,1,35,5,3,3,7.14
Jeremy Hill,CIN,RB,15,21,174,0,27,3,0,0,4.48
MarQueis Gray,MIA,TE,16,14,174,0,17,4,0,0,7.55
Vincent Jackson,TB,WR,5,15,173,0,32,4,0,0,5.63
Marcedes Lewis,JAX,TE,10,20,169,1,30,4,3,2,5.48
Carlos Hyde,SF,RB,13,27,163,3,33,6,2,0,11.76
Kenneth Dixon,BAL,RB,12,30,162,1,41,3,1,0,4.41
Paul Perkins,NYG,RB,14,15,162,0,24,0,0,0,0.00
Jalin Marshall,NYJ,WR,10,14,162,2,22,5,2,1,6.94
Ben Koyack,JAX,TE,14,19,161,1,24,2,0,0,2.74
Marquess Wilson,CHI,WR,3,9,160,1,16,2,1,0,2.70
A.J. Derby,DEN,TE,6,16,160,0,20,1,0,0,1.37
Brent Celek,PHI,TE,16,14,155,0,19,3,0,0,3.33
Darren Fells,ARI,TE,14,14,154,1,18,3,2,0,3.70
Bobby Rainey,NYG,RB,15,20,153,0,25,1,0,0,1.54
Cecil Shorts,TB,WR,9,11,152,0,27,2,1,1,2.82
Jay Ajayi,MIA,RB,15,27,151,0,35,5,1,0,9.43
Josh Hill,NO,TE,9,15,149,1,22,3,2,0,2.78
Rex Burkhead,CIN,RB,16,17,145,0,20,2,1,1,2.99
Bennie Fowler,DEN,WR,13,11,145,2,24,3,1,1,4.11
Jeremy Langford,CHI,RB,12,19,142,0,27,0,0,0,0.00
Freddie Martino,TB,WR,13,8,142,1,11,0,0,0,0.00
Walter Powell,BUF,WR,9,14,142,0,25,2,1,0,3.77
Jeff Heuerman,DEN,TE,12,9,141,0,17,0,0,0,0.00
Tanner McEvoy,SEA,WR,14,9,140,2,11,0,0,0,0.00
Derrick Henry,TEN,RB,15,13,137,0,15,3,0,0,4.29
Josh Ferguson,IND,RB,16,20,136,0,26,0,0,0,0.00
Doug Martin,TB,RB,8,14,134,0,16,1,0,0,1.41
James Starks,GB,RB,9,19,134,2,25,3,0,0,2.63
Ed Dickson,CAR,TE,16,10,134,1,19,3,2,2,4.41
Chris Harper,SF,WR,9,13,133,0,21,0,0,0,0.00
Jaelen Strong,HOU,WR,8,14,131,0,24,1,1,0,1.33
Luke Willson,SEA,TE,11,15,129,2,21,3,1,0,3.95
C.J. Anderson,DEN,RB,7,16,128,1,24,2,0,0,2.74
Seth DeValve,CLE,TE,12,10,127,2,12,2,0,0,3.51
Andre Holmes,OAK,WR,16,14,126,3,25,8,6,5,8.89
Paul Turner,PHI,WR,4,9,126,0,14,0,0,0,0.00
Daniel Brown,CHI,TE,6,16,124,1,20,5,4,1,6.76
Demetrius Harris,KC,TE,16,17,123,1,31,5,3,2,5.95
Lance Dunbar,DAL,RB,13,16,122,0,24,2,1,1,3.33
Jerell Adams,NYG,TE,13,16,122,1,21,1,1,0,1.54
DeAngelo Williams,PIT,RB,9,18,118,2,27,2,1,1,2.90
Xavier Grimble,PIT,TE,13,11,118,2,21,3,1,1,4.35
Brandon Tate,BUF,WR,15,8,117,0,12,1,0,0,1.89
Arrelious Benn,JAX,WR,15,5,116,1,10,1,0,0,1.37
Ryan Mathews,PHI,RB,13,13,115,1,14,3,2,1,3.33
DeAndre Washington,OAK,RB,14,17,115,0,23,1,1,1,1.11
DuJuan Harris,SF,RB,10,8,115,1,9,1,1,0,1.96
Darrius Heyward-Bey,PIT,WR,10,6,114,2,19,2,0,0,2.90
Nick O'Leary,BUF,TE,16,9,114,0,14,1,0,0,1.89
Austin Seferian-Jenkins,NYJ,TE,7,10,110,0,17,2,1,0,2.78
