,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Akiem Hicks,CHI,DE,1,55,4,1,5,1.0,0,0,0,0,0
Duron Harmon,DET,S,1,65,4,1,5,0.0,0,0,0,0,0
A.J. Klein,BUF,LB,1,35,3,2,5,0.0,0,0,0,0,0
Kyle Van Noy,MIA,LB,1,41,5,0,5,1.0,0,0,0,0,0
Kevin Pierre-Louis,WAS,LB,1,67,3,1,4,0.0,0,0,0,0,0
Terrance Mitchell,CLE,CB,1,59,3,1,4,0.0,0,0,0,0,0
Terrence Brooks,NE,S,1,29,3,1,4,0.0,0,0,0,0,0
Lamarcus Joyner,LV,S,1,60,3,1,4,0.0,0,0,0,0,1
Jeremiah Attaochu,DEN,LB,1,60,3,1,4,1.0,0,0,0,0,0
Kyle Fuller,CHI,CB,1,78,3,1,4,0.0,0,0,1,0,1
Aaron Donald,LAR,DE,1,60,1,3,4,1.0,0,0,0,0,0
Jaquiski Tartt,SF,S,1,82,3,1,4,0.0,0,0,1,0,1
Jimmie Ward,SF,S,1,82,2,2,4,0.0,0,0,0,0,1
Micah Hyde,BUF,S,1,55,2,2,4,0.0,0,0,0,0,0
John Simon,NE,LB,1,42,2,2,4,0.0,0,0,0,0,0
Logan Ryan,NYG,S,1,38,2,2,4,0.0,0,0,0,0,0
Barkevious Mingo,CHI,LB,1,43,2,2,4,0.0,0,0,0,0,0
Shelby Harris,DEN,DE,1,45,3,1,4,0.0,0,0,0,0,0
Brandon Copeland,NE,LB,1,8,1,3,4,0.0,0,0,0,0,0
Harrison Smith,MIN,S,1,78,4,0,4,0.0,0,0,0,0,0
D.J. Swearinger,NO,S,1,34,3,1,4,0.0,0,0,0,0,0
Khalil Mack,CHI,LB,1,67,2,2,4,0.0,0,0,0,0,0
Jordan Poyer,BUF,S,1,56,4,0,4,0.0,1,0,0,0,0
Pernell McPhee,BAL,LB,1,27,1,3,4,0.0,0,0,0,0,0
Kawann Short,CAR,DT,1,40,2,2,4,0.0,0,0,0,0,0
Lawrence Guy,NE,DT,1,22,3,1,4,0.0,0,0,0,0,0
Cameron Jordan,NO,DE,1,60,4,0,4,0.0,0,0,0,0,0
Tyson Alualu,PIT,DE,1,32,3,1,4,0.0,0,0,0,0,0
Richard Sherman,SF,CB,1,78,4,0,4,0.0,0,0,0,0,0
Andrew Sendejo,CLE,S,1,59,4,0,4,0.0,0,0,0,0,0
Buster Skrine,CHI,CB,1,56,3,1,4,0.0,0,0,0,0,2
Linval Joseph,LAC,DT,1,42,2,2,4,0.0,0,0,0,0,0
J.J. Watt,HOU,DE,1,63,3,1,4,0.0,0,0,0,0,0
Leonard Floyd,LAR,LB,1,68,2,2,4,1.0,0,0,0,0,0
Alex Anzalone,NO,LB,1,50,1,3,4,0.0,0,0,0,0,0
Dorian O'Daniel,KC,LB,1,5,3,1,4,1.0,0,0,0,0,0
Trey Hendrickson,NO,DE,1,39,4,0,4,1.0,0,0,0,0,0
Steven Nelson,PIT,CB,1,67,3,1,4,0.0,0,0,0,0,0
Tarell Basham,NYJ,LB,1,47,4,0,4,0.0,0,0,0,0,0
Elandon Roberts,MIA,LB,1,40,3,1,4,0.0,0,0,0,0,0
Damontae Kazee,ATL,S,1,62,4,0,4,0.0,0,0,0,0,0
Dante Fowler,ATL,DE,1,49,1,3,4,0.5,0,0,0,0,0
Matthew Ioannidis,WAS,DT,1,30,2,2,4,1.5,0,0,0,0,0
Jaleel Johnson,MIN,DT,1,57,3,1,4,0.0,0,0,0,0,0
