,,,,Receiving,,,,Red Zone Targets,,,
De'Veon Smith,MIA,RB,5,3,27,0,3,0,0,0,0.00
Branden Oliver,LAC,RB,8,6,26,0,11,1,1,1,1.41
Travaris Cadet,NYJ,RB,3,3,26,0,3,0,0,0,0.00
Darrell Daniels,IND,TE,12,3,26,0,13,3,2,1,7.69
Keith Smith,DAL,FB,16,5,26,0,5,0,0,0,0.00
Jordan Leslie,CLE,WR,2,1,26,0,1,0,0,0,0.00
Chris Matthews,BAL,WR,6,3,25,0,6,2,2,1,2.67
Geoff Swaim,DAL,TE,15,2,25,0,2,0,0,0,0.00
Antony Auclair,TB,TE,8,2,25,0,2,0,0,0,0.00
DeAndrew White,HOU,WR,2,1,24,0,7,0,0,0,0.00
Terrance West,BAL,RB,5,2,23,0,4,0,0,0,0.00
Justin Hunter,PIT,WR,7,4,23,1,10,2,2,2,2.20
Griff Whalen,BAL,WR,2,4,23,0,6,0,0,0,0.00
Kenny Britt,NE,WR,3,2,23,0,5,0,0,0,0.00
Aaron Jones,GB,RB,12,9,22,0,18,3,1,0,4.48
Ryan Hewitt,CIN,TE,13,2,22,0,2,0,0,0,0.00
Bernard Reedy,TB,WR,9,2,21,0,2,0,0,0,0.00
Derrick Coleman,ATL,FB,16,2,20,0,7,1,1,0,1.39
A.J. Derby,MIA,TE,2,2,20,0,9,4,2,0,5.63
Danny Vitale,CLE,FB,15,3,19,0,5,0,0,0,0.00
Blake Bell,MIN,TE,13,3,19,0,4,0,0,0,0.00
Rob Kelley,WAS,RB,7,4,18,0,7,0,0,0,0.00
Bobo Wilson,TB,WR,3,1,18,1,1,1,0,0,1.45
Luke Stocker,TB,TE,9,3,18,1,3,1,1,0,1.45
JoJo Natson,NYJ,WR,7,2,18,0,5,0,0,0,0.00
Jamal Agnew,DET,WR,13,2,18,0,2,0,0,0,0.00
Bobby Rainey,BAL,RB,4,5,18,0,7,1,1,1,1.33
Jehu Chesson,KC,WR,12,2,18,0,4,0,0,0,0.00
Allen Robinson,JAX,WR,1,1,17,0,1,0,0,0,0.00
Chris Manhertz,CAR,TE,16,2,17,0,4,1,1,1,1.72
Jeremy Hill,CIN,RB,7,4,16,0,5,0,0,0,0.00
Josh Ferguson,IND,RB,10,3,16,0,4,0,0,0,0.00
Mike Gillislee,NE,RB,9,1,15,0,1,0,0,0,0.00
Cole Hikutini,SF,TE,4,2,15,0,3,2,0,0,2.27
Tion Green,DET,RB,5,2,14,0,2,0,0,0,0.00
Terron Ward,ATL,RB,14,3,14,0,3,0,0,0,0.00
Dwayne Washington,DET,RB,5,2,14,0,2,0,0,0,0.00
Jeremy Sprinkle,WAS,TE,11,2,13,1,3,1,1,0,1.49
Darius Powe,NYG,WR,1,2,13,0,4,0,0,0,0.00
Patrick Ricard,BAL,FB,16,4,12,2,4,2,2,1,2.67
Arrelious Benn,JAX,WR,9,1,12,0,2,0,0,0,0.00
Jeff Janis,GB,WR,16,2,12,0,5,0,0,0,0.00
Andre Roberts,ATL,WR,16,1,12,0,4,1,0,0,1.39
Luke Stocker,TEN,TE,3,1,12,0,2,0,0,0,0.00
Kalif Raymond,NYG,WR,6,1,12,0,1,0,0,0,0.00
Mack Brown,WAS,RB,3,1,11,0,1,0,0,0,0.00
Taiwan Jones,BUF,RB,8,1,11,0,2,0,0,0,0.00
Shelton Gibson,PHI,WR,5,2,11,0,3,0,0,0,0.00
Brett Hundley,GB,QB,11,1,10,0,1,0,0,0,0.00
MarQueis Gray,MIA,TE,16,1,10,0,3,0,0,0,0.00
Fitzgerald Toussaint,PIT,RB,6,2,9,0,3,0,0,0,0.00
Dontrelle Inman,LAC,WR,4,2,9,0,4,0,0,0,0.00
Zach Line,NO,FB,12,2,8,1,5,2,2,1,2.56
Michael Burton,CHI,FB,16,2,8,0,4,1,1,1,2.04
Cobi Hamilton,HOU,WR,3,1,8,0,6,0,0,0,0.00
Harry Douglas,TEN,WR,2,1,8,0,3,0,0,0,0.00
Brandon Bolden,NE,RB,16,1,7,0,4,0,0,0,0.00
Marcus Murphy,BUF,RB,1,2,7,0,2,0,0,0,0.00
Roosevelt Nix,PIT,FB,16,2,6,1,3,1,1,1,1.10
Kevin White,CHI,WR,1,2,6,0,4,0,0,0,0.00
Larry Pinkard,JAX,WR,4,1,5,0,1,0,0,0,0.00
Eric Weems,TEN,WR,16,1,5,0,2,0,0,0,0.00
Adrian Peterson,NO,RB,4,2,4,0,3,0,0,0,0.00
Max McCaffrey,JAX,WR,5,1,4,0,1,0,0,0,0.00
Garrett Griffin,NO,TE,3,1,4,0,1,0,0,0,0.00
Senorise Perry,MIA,RB,16,1,3,0,1,0,0,0,0.00
Charone Peake,NYJ,WR,3,1,3,0,1,0,0,0,0.00
Joe Kerridge,GB,FB,4,1,3,0,1,0,0,0,0.00
Ryan Malleck,HOU,TE,2,1,3,0,1,0,0,0,0.00
Cameron Artis-Payne,CAR,RB,13,1,2,0,1,0,0,0,0.00
Jeff Cumberland,LAC,TE,7,2,2,0,3,1,0,0,1.41
Lance Dunbar,LAR,RB,4,1,1,0,3,1,0,0,1.22
Nick Bellore,DET,FB,13,1,1,1,1,1,1,1,1.33
Matt Hazel,IND,WR,4,1,1,0,1,0,0,0,0.00
Bryce Petty,NYJ,QB,4,0,0,0,1,0,0,0,0.00
James Conner,PIT,RB,14,0,0,0,1,1,1,0,1.10
Zach Zenner,DET,RB,8,0,0,0,1,0,0,0,0.00
Jalston Fowler,TEN,FB,10,0,0,0,1,0,0,0,0.00
Vince Mayle,BAL,TE,16,0,0,0,1,0,0,0,0.00
David Fluellen,TEN,RB,16,0,0,0,1,0,0,0,0.00
John Ross,CIN,WR,3,0,0,0,2,0,0,0,0.00
Devante Mays,GB,RB,8,3,0,0,3,0,0,0,0.00
Cody Core,CIN,WR,13,0,0,0,4,0,0,0,0.00
Cethan Carter,CIN,TE,16,0,0,0,1,0,0,0,0.00
Marquez Williams,CLE,FB,1,0,0,0,1,1,1,1,2.17
Hunter Sharp,DEN,WR,1,0,0,0,1,0,0,0,0.00
Gabe Holmes,ARI,TE,2,0,0,0,1,1,0,0,1.39
K.J. Brent,IND,WR,5,0,0,0,1,0,0,0,0.00
C.J. Spiller,KC,RB,1,0,0,0,2,0,0,0,0.00
Stacy Coley,MIN,WR,4,0,0,0,1,0,0,0,0.00
Ed Eagan,NYG,WR,4,0,0,0,1,0,0,0,0.00
Marquis Bundy,NYG,WR,1,0,0,0,3,1,0,0,1.92
Matt LaCosse,NYG,TE,3,0,0,0,1,1,1,1,1.92
Isaac Whitney,OAK,WR,2,0,0,0,1,0,0,0,0.00
Logan Paulsen,SF,TE,14,0,0,0,2,0,0,0,0.00
Jimmy Garoppolo,SF,QB,6,1,-6,0,1,1,0,0,1.14
