,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Tre Herndon,JAX,CB,16,61.0,42.0,13,55,0.0,0,0,3,0
Darnell Savage,GB,S,14,63.0,42.0,13,55,0.0,2,0,2,0
Lorenzo Alexander,BUF,LB,16,61.0,35.0,20,55,2.0,1,0,0,0
Vince Williams,PIT,LB,14,60.0,28.0,27,55,2.5,0,0,0,0
Tyeler Davison,ATL,DT,16,59.0,26.0,29,55,1.0,0,1,0,0
Za'Darius Smith,GB,LB,16,84.0,41.0,14,55,13.5,1,0,0,0
Preston Brown,CIN/OAK,LB,10,59.0,28.0,27,55,0.0,1,1,0,0
T.J. Watt,PIT,LB,16,112.0,35.0,20,55,14.5,8,4,2,0
Rayshawn Jenkins,LAC,S,16,60.0,34.0,20,54,0.0,0,0,3,0
Clayton Geathers,IND,S,15,56.0,40.0,14,54,0.0,0,0,1,0
Arik Armstead,SF,DE,16,80.0,32.0,22,54,10.0,2,1,0,0
Justin Coleman,DET,CB,16,64.0,47.0,7,54,0.0,3,1,1,0
Matt Judon,BAL,LB,16,81.0,43.0,11,54,9.5,4,0,0,0
Nik Needham,MIA,CB,12,62.0,41.0,13,54,1.0,1,0,2,0
Jonathan Jones,NE,CB,15,57.0,38.0,15,53,0.0,2,0,0,0
Marcus Peters,LAR/BAL,CB,16,83.0,40.0,13,53,0.0,0,1,5,3
Patrick Peterson,ARI,CB,10,61.0,46.0,7,53,1.0,1,0,2,0
Cameron Jordan,NO,DE,16,86.0,37.0,16,53,15.5,0,1,0,0
Prince Amukamara,CHI,CB,15,57.0,44.0,9,53,0.0,1,1,0,0
Stephon Gilmore,NE,CB,16,79.0,44.0,9,53,0.0,0,1,6,2
D.J. Reader,HOU,DT,15,57.0,28.0,24,52,2.5,0,0,0,0
TJ Carrie,CLE,CB,16,60.0,40.0,12,52,1.0,1,1,1,0
Brennan Scarlett,HOU,LB,15,62.0,31.0,20,51,3.5,2,0,0,0
Malik Hooker,IND,S,13,57.0,30.0,21,51,0.0,0,1,2,0
John Johnson,LAR,S,6,55.0,24.0,27,51,0.0,0,0,2,0
Desmond King,LAC,CB,15,60.0,40.0,11,51,2.5,1,1,0,0
Jourdan Lewis,DAL,CB,16,71.0,38.0,13,51,4.0,0,1,2,1
Tashaun Gipson,HOU,S,14,63.0,37.0,14,51,0.0,0,0,3,1
Johnathan Joseph,HOU,CB,14,53.0,43.0,8,51,0.0,0,0,1,0
Patrick Chung,NE,S,13,51.0,38.0,13,51,0.0,0,0,0,0
Christian Jones,DET,LB,13,57.0,29.0,22,51,2.0,0,1,0,0
Trey Flowers,DET,DE,15,69.0,33.0,18,51,7.0,2,0,0,0
K'Waun Williams,SF,CB,15,65.0,35.0,16,51,1.0,4,0,2,0
Pierre Desir,IND,CB,12,56.0,38.0,12,50,0.0,0,0,3,0
Johnathan Hankins,OAK,DT,16,53.0,28.0,22,50,1.5,0,0,0,0
D.J. Swearinger,ARI/NO/OAK,S,9,50.0,32.0,18,50,0.0,0,0,0,0
Brandon Graham,PHI,DE,16,73.0,35.0,15,50,8.5,1,2,0,0
Tramaine Brock,TEN/ARI,CB,14,50.0,45.0,5,50,0.0,0,0,0,0
Gareon Conley,OAK/HOU,CB,14,52.0,36.0,14,50,0.0,0,0,1,0
Larry Ogunjobi,CLE,DT,15,61.0,35.0,15,50,5.5,0,0,0,0
Jalen Ramsey,LAR/JAX,CB,12,56.0,44.0,6,50,0.0,2,0,1,0
Emmanuel Moseley,SF,CB,16,52.0,42.0,8,50,0.0,0,0,1,0
Montez Sweat,WAS,DE,16,68.0,31.0,19,50,7.0,2,0,0,0
Trayvon Mullen,OAK,CB,16,52.0,42.0,8,50,0.0,0,0,1,0
Taron Johnson,BUF,CB,12,54.0,39.0,11,50,1.0,1,0,0,0
Shaun Dion Hamilton,WAS,LB,16,57.0,37.0,12,49,1.0,1,1,1,0
Ceedy Duce,NO,S,16,55.0,38.0,11,49,0.0,1,1,1,0
C.J. Gardner-Johnson,NO,S,16,55.0,38.0,11,49,0.0,1,1,1,0
Karl Joseph,OAK,S,9,53.0,38.0,11,49,0.0,0,1,1,0
Kendall Fuller,KC,CB,11,51.0,34.0,15,49,1.0,0,0,0,0
