,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
C.J. Gardner-Johnson,NO,S,16,552,38.0,11,49,0.0,1,1,1,0,8
Karl Joseph,OAK,S,9,590,38.0,11,49,0.0,0,1,1,0,3
Kendall Fuller,KC,CB,11,507,34.0,15,49,1.0,0,0,0,0,2
Dalvin Tomlinson,NYG,DT,16,606,23.0,26,49,3.5,1,0,0,0,0
Earl Thomas,BAL,S,15,911,32.0,17,49,2.0,1,1,2,0,4
Brandon Carr,BAL,CB,16,763,41.0,8,49,2.0,0,0,0,0,6
Damon Harrison,DET,DT,15,536,29.0,20,49,2.0,0,0,0,0,3
Lamarcus Joyner,OAK,S,14,724,41.0,8,49,0.0,0,0,0,0,3
Shelby Harris,DEN,DE,16,649,28.0,21,49,6.0,1,0,0,0,9
Mike Purcell,DEN,DT,13,418,28.0,20,48,0.0,0,0,0,0,0
Aaron Donald,LAR,DE,16,940,29.0,19,48,12.5,2,1,0,0,2
Bashaud Breeland,KC,CB,16,928,37.0,11,48,0.0,0,2,2,1,8
Melvin Ingram,LAC,DE,13,677,39.0,9,48,7.0,0,1,1,0,5
Whitney Mercilus,HOU,LB,16,968,33.0,15,48,7.5,4,1,2,0,2
Buster Skrine,CHI,CB,16,742,39.0,9,48,0.0,2,0,0,0,5
Jaquiski Tartt,SF,S,12,689,34.0,14,48,0.5,1,2,0,0,2
Quincy Williams,JAX,LB,11,504,30.0,18,48,0.0,0,0,0,0,0
Derrick Nnadi,KC,DT,16,604,18.0,30,48,1.0,1,0,1,0,1
Samson Ebukam,LAR,LB,16,572,26.0,22,48,4.5,1,2,0,0,4
Avonte Maddox,PHI,CB,12,528,38.0,9,47,1.0,1,0,0,0,10
Maxx Crosby,OAK,DE,16,768,36.0,11,47,10.0,4,0,0,0,4
Nick Bosa,SF,DE,16,789,32.0,15,47,9.0,1,2,1,0,2
Greedy Williams,CLE,CB,12,696,37.0,10,47,0.0,0,0,0,0,2
Dean Lowry,GB,DE,16,642,23.0,24,47,0.0,0,1,1,0,3
Geno Atkins,CIN,DT,16,836,18.0,29,47,4.5,0,0,0,0,0
Khalil Mack,CHI,LB,16,943,40.0,7,47,8.5,5,1,0,0,4
Michael Thomas,NYG,S,16,306,33.0,14,47,0.0,0,0,0,0,3
Leonard Williams,NYG/NYJ,DE,15,749,21.0,25,46,0.5,1,0,0,0,3
Von Miller,DEN,LB,15,858,33.0,13,46,8.0,0,0,0,0,2
Darius Slay,DET,CB,14,871,36.0,10,46,0.0,0,1,2,0,13
Maurice Canady,BAL/NYJ,CB,13,403,37.0,9,46,0.0,1,0,1,0,5
Byron Jones,DAL,CB,15,940,37.0,9,46,0.0,1,0,0,0,6
Andrew Adams,TB,S,14,627,41.0,5,46,0.0,1,0,1,0,3
Kendall Sheffield,ATL,CB,16,708,33.0,13,46,0.0,1,0,0,0,3
Lorenzo Carter,NYG,LB,15,739,25.0,20,45,4.5,1,0,0,0,5
Mike Hughes,MIN,CB,14,505,39.0,6,45,0.0,2,0,1,0,9
Adoree' Jackson,TEN,CB,11,583,39.0,6,45,0.0,0,0,0,0,6
Darian Thompson,DAL,S,15,435,23.0,22,45,1.5,0,1,0,0,3
DeMarcus Lawrence,DAL,DE,16,689,30.0,15,45,5.0,2,2,0,0,2
Jahleel Addae,HOU,S,16,534,35.0,10,45,0.0,0,0,2,0,3
Kemal Ishmael,ATL,S,14,288,25.0,19,44,0.0,1,0,0,0,0
John Simon,NE,LB,16,492,28.0,16,44,4.0,1,0,1,0,4
Jurrell Casey,TEN,DE,14,722,26.0,18,44,5.0,1,2,0,0,0
Justin Houston,IND,DE,16,685,33.0,11,44,11.0,2,3,0,0,0
Linval Joseph,MIN,DT,13,559,26.0,18,44,3.0,1,0,0,0,0
P.J. Williams,NO,CB,14,815,34.0,10,44,1.0,0,0,1,0,4
Ryan Anderson,WAS,DE,16,529,30.0,14,44,4.0,5,2,0,0,1
Fabian Moreau,WAS,CB,12,631,33.0,11,44,0.0,0,0,3,0,5
Denzel Ward,CLE,CB,12,767,38.0,6,44,0.0,0,1,2,1,11
Ja'Whaun Bentley,NE,LB,16,288,29.0,15,44,0.0,0,0,0,0,1
Sebastian Joseph-Day,LAR,DT,16,488,25.0,19,44,2.0,0,0,0,0,1
Josh Allen,JAX,DE,16,646,31.0,13,44,10.5,2,0,0,0,0
Sean Murphy-Bunting,TB,CB,16,702,37.0,7,44,1.0,1,0,3,1,8
Ed Oliver,BUF,DT,16,568,24.0,19,43,5.0,1,0,0,0,2
Isaac Yiadom,DEN,CB,16,517,32.0,11,43,0.0,0,0,0,0,4
Grant Haley,NYG,CB,15,430,36.0,7,43,1.0,0,0,0,0,0
Will Harris,DET,S,16,675,30.0,13,43,1.0,0,0,0,0,3
Troy Hill,LAR,CB,14,546,32.0,11,43,1.0,0,0,2,0,8
Wesley Woodyard,TEN,LB,15,328,25.0,17,42,1.0,1,0,0,0,1
Nick Williams,CHI,DT,16,540,24.0,18,42,6.0,0,2,0,0,2
Vic Beasley,ATL,DE,16,774,28.0,14,42,8.0,2,0,0,0,2
DaQuan Jones,TEN,DT,16,688,21.0,21,42,1.0,0,0,0,0,3
Brandon Copeland,NYJ,LB,12,340,27.0,15,42,1.5,1,0,0,0,2
Leon Jacobs,JAX,LB,14,329,31.0,11,42,2.0,0,1,0,0,1
Jimmy Moreland,WAS,CB,14,467,32.0,10,42,0.0,0,0,0,0,4
Sam Eguavoen,MIA,LB,16,630,22.0,20,42,3.5,0,1,0,0,1
Sheldrick Redwine,CLE,S,12,383,28.0,14,42,0.0,0,0,0,0,2
Brandon Facyson,LAC,CB,16,331,30.0,11,41,0.0,0,0,0,0,1
Will Compton,OAK,LB,9,245,26.0,15,41,0.0,0,0,0,0,0
D.J. Hayden,JAX,CB,15,656,32.0,9,41,2.0,1,1,0,0,6
Tyson Alualu,PIT,DE,16,440,21.0,20,41,1.0,1,0,0,0,2
Ndamukong Suh,TB,DE,16,903,22.0,19,41,2.5,0,4,0,2,4
Everson Griffen,MIN,DE,15,863,26.0,15,41,8.0,0,0,1,0,2
Morgan Burnett,CLE,S,8,377,26.0,15,41,2.0,0,0,1,0,2
Quandre Diggs,DET/SEA,S,10,622,27.0,14,41,0.0,1,1,3,1,3
Jermaine Whitehead,CLE,S,8,506,31.0,10,41,0.0,1,0,1,0,2
Jalen Mills,PHI,S,9,511,29.0,12,41,0.0,0,0,1,0,7
Yannick Ngakoue,JAX,DE,15,803,36.0,5,41,8.0,4,1,1,1,6
A'Shawn Robinson,DET,DT,13,533,32.0,8,40,1.5,1,2,0,0,3
Leonard Floyd,CHI,LB,16,916,27.0,13,40,3.0,0,0,0,0,1
Jason McCourty,NE,CB,12,484,31.0,9,40,0.0,0,0,1,0,6
Terrell Suggs,ARI/KC,DE,15,710,24.0,16,40,6.5,4,1,0,0,0
Fletcher Cox,PHI,DT,16,816,26.0,14,40,3.5,3,1,0,0,2
Josh Norman,WAS,CB,12,555,33.0,7,40,1.0,1,0,1,0,6
Marcell Harris,SF,S,13,340,23.0,17,40,0.0,3,1,0,0,5
Kyzir White,LAC,LB,16,376,25.0,15,40,0.0,0,0,1,0,2
Donte Jackson,CAR,CB,13,745,32.0,8,40,0.0,0,1,3,0,8
Austin Calitro,JAX,LB,13,236,30.0,10,40,1.0,0,0,0,0,1
Blake Cashman,NYJ,LB,7,434,27.0,13,40,0.5,0,1,0,0,1
Roderic Teamer,LAC,S,7,384,30.0,10,40,1.0,0,0,1,0,2
Michael Davis,LAC,CB,12,669,31.0,8,39,0.0,0,0,2,0,9
Kyle Phillips,NYJ,DE,15,558,21.0,18,39,1.5,0,0,0,0,1
Tramon Williams,GB,CB,16,772,29.0,10,39,0.0,1,2,2,0,8
Corey Peters,ARI,DT,16,827,19.0,19,38,2.5,0,0,0,0,0
William Gholston,TB,DE,16,507,26.0,12,38,1.0,0,0,0,0,2
