,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Harold Landry,TEN,LB,16,961,#1 ROLB,35.7,4,7,57.1,43,0,1,0,0
Jayron Kearse,MIN,S,15,275,#3 SS,36.3,9,19,47.4,76,0,1,5,1
Stephon Gilmore,NE,CB,16,975,#3 RCB,38.3,39,93,41.9,548,1,6,14,2
Juston Burris,CLE,S,14,418,#1 SS,38.5,5,13,38.5,57,1,2,3,1
Quandre Diggs,SEA,S,5,323,#1 FS,39.6,1,4,25.0,10,1,3,0,1
Oren Burks,GB,LB,12,57,#2 RILB,39.6,0,3,0.0,0,0,0,0,0
Dylan Cole,HOU,LB,11,139,#2 RILB,39.6,1,6,16.7,12,0,0,1,0
Kyle Wilber,LV,LB,,,#2 SLB,39.6,0,3,0.0,0,0,0,1,0
Jamie Collins,NE,LB,16,835,#1 LOLB,39.8,12,18,66.7,94,0,3,0,1
Adrian Phillips,LAC,S,7,282,#1 SS,40.0,7,10,70.0,46,0,1,0,0
Tae Hayes,MIA,CB,2,107,#,40.6,3,17,17.6,55,0,0,2,0
Tyrann Mathieu,KC,S,16,1096,#1 SS,41.1,29,56,51.8,284,2,5,7,4
Coty Sensabaugh,DEN,CB,4,17,#,42.4,1,3,33.3,5,0,0,0,0
Lano Hill,SEA,S,12,303,#2 SS,42.4,1,3,33.3,45,0,1,0,0
Miles Killebrew,DET,S,15,86,#3 FS,42.4,1,3,33.3,5,0,0,0,0
Jeremy Reaves,WAS,S,9,99,#,42.4,1,3,33.3,6,0,0,1,0
Lorenzo Carter,NYG,LB,15,739,#1 LOLB,42.4,1,3,33.3,3,0,0,1,0
