,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Perrish Cox,TEN,CB,11,623,37.0,5,42,0.0,0,0,3,0,11
Bacarri Rambo,MIA,S,9,469,25.0,17,42,0.0,0,0,1,0,3
Jarvis Jones,PIT,LB,14,474,29.0,13,42,1.0,2,1,1,0,3
Valentino Blake,TEN,CB,16,364,35.0,7,42,0.0,0,0,0,0,5
Kendall Fuller,WAS,CB,13,478,32.0,10,42,0.0,0,0,0,0,2
Jordan Jenkins,NYJ,LB,14,464,23.0,18,41,2.5,1,1,0,0,2
Joey Bosa,SD,DE,12,562,29.0,12,41,10.5,1,0,0,0,0
Quinten Rollins,GB,CB,13,704,39.0,2,41,0.0,0,0,1,0,8
Anthony Harris,MIN,S,16,234,30.0,11,41,0.0,0,1,0,0,1
Tashaun Gipson,JAX,S,16,1040,34.0,7,41,0.0,0,0,1,0,2
Frank Zombo,KC,LB,16,490,30.0,11,41,1.0,1,0,0,0,2
Shea McClellin,NE,LB,14,382,16.0,25,41,1.0,0,1,0,0,0
Chad Greenway,MIN,LB,16,403,26.0,15,41,0.0,0,0,1,0,1
Will Blackmon,WAS,S,15,573,25.0,16,41,0.5,1,0,1,0,3
Michael Griffin,CAR,S,13,285,27.0,13,40,0.0,0,0,0,0,0
Sean Smith,OAK,CB,15,885,33.0,7,40,0.0,0,0,2,0,11
Terrell McClain,DAL,DT,15,471,21.0,19,40,2.5,2,0,0,0,0
Da'Norris Searcy,TEN,S,14,555,35.0,5,40,0.0,0,1,1,0,6
Troy Hill,LAR,CB,12,335,35.0,5,40,0.0,0,0,0,0,2
Xavien Howard,MIA,CB,7,528,29.0,11,40,0.0,1,0,0,0,6
Damarious Randall,GB,S,10,497,35.0,4,39,0.0,0,0,3,0,9
Marcell Dareus,BUF,DT,8,418,24.0,15,39,3.5,0,0,0,0,1
Robert McClain,SD/CAR,CB,14,326,22.0,17,39,0.5,0,0,0,0,1
Ahtyba Rubin,SEA,DT,16,602,25.0,14,39,1.0,3,0,0,0,1
Cliff Avril,SEA,DE,16,829,20.0,19,39,11.5,5,0,0,0,3
Jordan Poyer,CLE,S,6,354,29.0,10,39,0.0,0,0,0,0,2
Kelcie McCray,SEA,S,16,338,23.0,16,39,0.0,0,0,0,0,1
Justin Bethel,ARI,S,16,269,37.0,2,39,0.0,1,1,1,1,6
Bradley Roby,DEN,CB,16,691,34.0,5,39,1.0,1,0,2,2,8
Shamar Stephen,MIN,DT,16,551,17.0,22,39,0.0,0,1,0,0,0
Vic Beasley,ATL,DE,16,671,32.0,7,39,15.5,6,1,0,1,2
Stephon Tuitt,PIT,DE,14,764,29.0,9,38,4.0,2,0,0,0,3
Dee Ford,KC,DE,15,798,25.0,13,38,10.0,1,0,0,0,2
Terence Newman,MIN,CB,15,752,33.0,5,38,0.0,0,0,1,0,8
Rashad Johnson,TEN,S,14,550,25.0,13,38,0.0,1,0,0,0,1
Brice McCain,TEN,CB,16,842,31.0,7,38,0.0,0,0,2,0,10
Willie Young,CHI,LB,16,713,21.0,17,38,7.5,1,0,0,0,2
Josh Bynes,DET,LB,9,374,26.0,12,38,0.0,0,0,0,0,4
Preston Smith,WAS,LB,16,768,22.0,16,38,4.5,0,0,1,0,3
Adrian Phillips,SD,S,14,543,25.0,13,38,0.0,0,0,1,0,3
