,,,,Receiving,,,,Red Zone Targets,,,
Dwayne Allen,NE,TE,13,3,27,0,4,0,0,0,0.00
Marcus Murphy,BUF,RB,11,11,26,0,19,2,0,0,5.13
Kelvin Benjamin,KC,WR,3,2,26,0,5,3,2,0,3.09
Raheem Mostert,SF,RB,9,6,25,0,7,0,0,0,0.00
Charone Peake,NYJ,WR,13,2,25,0,3,0,0,0,0.00
C.J. Anderson,CAR,RB,9,1,24,1,3,0,0,0,0.00
Sean Culkin,LAC,TE,13,1,24,0,1,0,0,0,0.00
Devonta Freeman,ATL,RB,2,5,23,0,7,1,1,1,1.35
Orson Charles,CLE,FB,13,3,23,0,5,0,0,0,0.00
Tyrone Swoopes,SEA,TE,1,1,23,0,1,0,0,0,0.00
Keith Smith,OAK,FB,16,5,23,0,7,1,0,0,1.79
Brandon Zylstra,MIN,WR,16,1,23,0,2,0,0,0,0.00
Gehrig Dieter,KC,WR,4,1,22,0,3,0,0,0,0.00
C.J. Prosise,SEA,RB,5,3,22,0,3,0,0,0,0.00
Marcus Mariota,TEN,QB,14,1,21,0,1,0,0,0,0.00
Keith Ford,BUF,RB,2,3,21,0,5,0,0,0,0.00
Roc Thomas,MIN,RB,5,2,21,0,4,2,1,0,2.82
DeAndre Carter,PHI,WR,7,2,21,0,2,0,0,0,0.00
Justin Hunter,PIT,WR,5,3,21,0,13,0,0,0,0.00
Gus Edwards,BAL,RB,11,2,20,0,2,0,0,0,0.00
Jay Ajayi,PHI,RB,4,5,20,0,6,2,1,0,2.38
Malik Turner,SEA,WR,6,2,20,0,3,0,0,0,0.00
Detrez Newsome,LAC,RB,9,2,19,0,2,0,0,0,0.00
Stevan Ridley,PIT,RB,10,3,18,0,4,0,0,0,0.00
Ameer Abdullah,DET,RB,3,2,18,0,2,0,0,0,0.00
Terrance Williams,DAL,WR,3,2,18,0,3,0,0,0,0.00
Brian Quick,WAS,WR,6,3,18,0,3,0,0,0,0.00
C.J. Anderson,LAR,RB,2,4,17,0,6,2,1,0,2.15
Josh Gordon,CLE,WR,1,1,17,1,3,1,0,0,1.72
Matthew Lengel,CIN,TE,11,3,17,1,8,2,1,1,3.13
De'Lance Turner,BAL,RB,4,2,17,0,2,0,0,0,0.00
Derrick Coleman,ARI,FB,16,2,17,0,3,1,0,0,2.22
Nick Williams,LAR,WR,2,2,17,0,3,0,0,0,0.00
KhaDarel Hodge,LAR,WR,14,2,17,0,3,1,1,0,1.08
Terrelle Pryor,BUF,WR,2,2,17,0,8,1,1,1,2.56
Cameron Artis-Payne,CAR,RB,9,3,15,0,4,0,0,0,0.00
Nick Bellore,DET,FB,14,4,15,0,4,2,0,0,2.99
J'Mon Moore,GB,WR,12,2,15,0,3,0,0,0,0.00
Zach Line,NO,FB,16,5,14,2,10,6,3,3,6.32
Matt Flanagan,WAS,TE,3,1,14,0,2,0,0,0,0.00
Tim White,BAL,WR,3,1,14,0,1,0,0,0,0.00
Ross Dwelley,SF,TE,11,2,14,0,2,1,0,0,1.39
Brandon Bolden,MIA,RB,16,3,13,1,3,1,1,1,2.56
Kapri Bibbs,GB,RB,2,3,13,0,5,0,0,0,0.00
Joe Webb,HOU,WR,16,2,13,0,3,0,0,0,0.00
Jamize Olawale,DAL,FB,16,2,13,0,4,3,1,1,4.29
Rishard Matthews,NYJ,WR,5,2,13,0,3,0,0,0,0.00
Sammie Coates,HOU,WR,12,1,12,0,2,1,0,0,1.33
Josh Malone,CIN,WR,9,1,12,0,5,0,0,0,0.00
Hakeem Valles,DET,TE,3,2,11,0,3,0,0,0,0.00
Rishard Matthews,TEN,WR,3,3,11,0,6,1,0,0,1.79
Ricky Ortiz,ATL,FB,12,3,11,0,4,0,0,0,0.00
Nick Foles,PHI,QB,5,1,10,0,1,0,0,0,0.00
Victor Bolden,SF,WR,4,1,10,0,4,1,0,0,1.39
Ameer Abdullah,MIN,RB,7,1,10,0,2,1,0,0,1.41
Brian Hill,ATL,RB,10,1,9,0,2,1,0,0,1.35
DeAndre Washington,OAK,RB,10,1,9,0,1,0,0,0,0.00
Mike Gillislee,NO,RB,4,1,9,0,1,0,0,0,0.00
Benny Cunningham,CHI,RB,15,1,9,0,2,0,0,0,0.00
Cam Phillips,BUF,WR,2,1,9,0,1,0,0,0,0.00
Alan Cross,TB,TE,14,2,9,0,5,1,1,1,1.19
Dion Sims,CHI,TE,8,2,9,0,4,0,0,0,0.00
Darrius Heyward-Bey,PIT,WR,14,1,9,0,2,0,0,0,0.00
Chase Daniel,CHI,QB,5,1,8,0,1,0,0,0,0.00
Darvin Kidsy,WAS,WR,2,1,8,0,2,0,0,0,0.00
Keon Hatcher,OAK,WR,3,1,8,0,2,0,0,0,0.00
Damiere Byrd,CAR,WR,8,1,8,0,2,0,0,0,0.00
Jamaal Charles,JAX,RB,2,2,7,0,3,0,0,0,0.00
Richard Rodgers,PHI,TE,7,1,7,0,1,0,0,0,0.00
Marcus Kemp,KC,WR,16,1,7,0,2,0,0,0,0.00
Allen Lazard,GB,WR,1,1,7,0,1,0,0,0,0.00
Jeremy Kerley,BUF,WR,1,2,7,0,4,0,0,0,0.00
Jehu Chesson,WAS,WR,12,1,7,0,2,0,0,0,0.00
Tom Brady,NE,QB,16,1,6,0,1,0,0,0,0.00
Jeremy Hill,NE,RB,1,1,6,0,1,0,0,0,0.00
Michael Burton,CHI,FB,8,1,6,0,1,0,0,0,0.00
Matt Ryan,ATL,QB,16,1,5,1,1,1,1,1,1.35
Alex Armah,CAR,FB,16,1,5,0,1,0,0,0,0.00
Samaje Perine,WAS,RB,5,3,5,0,4,1,0,0,2.38
Shaun Wilson,TB,RB,5,3,5,0,5,3,0,0,3.57
Travaris Cadet,CAR,RB,1,1,5,0,1,1,1,0,1.47
Andre Holmes,DEN,WR,3,1,5,0,1,0,0,0,0.00
Khari Lee,BUF,TE,2,1,5,0,1,0,0,0,0.00
Justin Watson,TB,WR,12,1,5,0,3,0,0,0,0.00
Johnny Mundt,LAR,TE,10,1,5,0,1,0,0,0,0.00
Andrew Luck,IND,QB,16,1,4,0,2,1,1,1,1.01
Carson Wentz,PHI,QB,11,1,4,0,1,0,0,0,0.00
Taysom Hill,NO,QB,16,3,4,0,7,1,0,0,1.05
Carlos Hyde,JAX,RB,8,4,4,0,7,1,1,0,2.04
Ryan Tannehill,MIA,QB,11,1,3,1,1,1,1,1,2.56
Robert Turbin,IND,RB,2,1,3,0,2,0,0,0,0.00
J.J. Jones,NYJ,WR,1,1,3,0,1,0,0,0,0.00
Kenjon Barner,CAR,RB,4,1,3,0,1,0,0,0,0.00
Bradley Sowell,CHI,TE,16,1,2,1,2,2,2,2,2.78
Derek Watt,LAC,FB,16,1,2,0,1,0,0,0,0.00
Danny Vitale,GB,FB,5,1,2,0,2,1,1,1,1.47
Drew Brees,NO,QB,15,1,1,0,1,0,0,0,0.00
Ryan Hewitt,IND,TE,12,1,1,1,2,1,1,1,1.01
Mike Boone,MIN,RB,8,2,1,0,3,0,0,0,0.00
Jonathan Williams,NO,RB,3,1,1,0,1,0,0,0,0.00
Dak Prescott,DAL,QB,16,0,0,0,1,1,0,0,1.43
Baker Mayfield,CLE,QB,14,0,0,0,1,0,0,0,0.00
Josh Allen,BUF,QB,12,0,0,0,1,1,0,0,2.56
Lamar Jackson,BAL,QB,16,0,0,0,2,1,0,0,1.52
Mason Crosby,GB,K,16,0,0,0,1,0,0,0,0.00
Stephen Hauschka,BUF,K,16,0,0,0,1,0,0,0,0.00
Darius Jackson,DAL,RB,2,0,0,0,1,1,0,0,1.43
J.D. McKissic,SEA,RB,5,0,0,0,1,1,0,0,1.79
Riley McCarron,NE,WR,1,0,0,0,1,0,0,0,0.00
Cole Wick,SF,TE,5,0,0,0,1,1,1,1,1.39
Darrell Daniels,ARI,TE,2,0,0,0,1,0,0,0,0.00
Darrell Daniels,SEA,TE,9,0,0,0,1,0,0,0,0.00
Pharoh Cooper,LAR,WR,5,0,0,0,1,0,0,0,0.00
Johnny Holton,OAK,WR,1,0,0,0,1,0,0,0,0.00
Mike Wallace,PHI,WR,2,0,0,0,3,0,0,0,0.00
Chris Lacy,DET,WR,1,0,0,0,1,1,0,0,1.49
Isaiah Ford,MIA,WR,1,0,0,0,1,1,0,0,2.56
Taiwan Jones,BUF,RB,6,0,0,0,2,0,0,0,0.00
Brice Butler,DAL,WR,2,0,0,0,1,0,0,0,0.00
Geremy Davis,LAC,WR,14,0,0,0,1,0,0,0,0.00
Nick Williams,TEN,WR,2,0,0,0,1,0,0,0,0.00
Jerome Cunningham,DET,TE,3,0,0,0,1,0,0,0,0.00
Freddie Martino,TB,WR,4,0,0,0,1,1,1,1,1.19
Stacy Coley,MIN,WR,2,0,0,0,1,0,0,0,0.00
Ben Roethlisberger,PIT,QB,16,1,-1,0,1,0,0,0,0.00
Kirk Cousins,MIN,QB,16,1,-1,0,1,0,0,0,0.00
Matt Schaub,ATL,QB,3,1,-7,0,1,0,0,0,0.00
Derek Carr,OAK,QB,16,1,-9,0,1,0,0,0,0.00
Russell Wilson,SEA,QB,16,1,-11,0,1,0,0,0,0.00
