,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Vernon Davis,WAS,TE,14,48.7,0,0,0,0,0,0,0,0,25,36,367,2,0,0
Ricky Seals-Jones,ARI,TE,15,40.3,0,0,0,0,0,0,0,0,34,69,343,1,0,0
Breshad Perriman,CLE,WR,10,46.2,0,0,0,0,0,4,2,0,16,25,340,2,0,0
Ryan Grant,IND,WR,14,39.4,0,0,0,0,0,0,0,0,35,52,334,1,0,0
Chris Conley,KC,WR,16,63.4,0,0,0,0,0,0,0,0,32,52,334,5,2,2
Dallas Goedert,PHI,TE,16,57.4,0,0,0,0,0,0,0,0,33,44,334,4,0,0
Ian Thomas,CAR,TE,16,45.3,0,0,0,0,0,0,0,0,36,49,333,2,0,0
Antonio Gates,LAC,TE,16,45.3,0,0,0,0,0,0,0,0,28,45,333,2,1,1
Equanimeous St. Brown,GB,WR,12,33.3,0,0,0,0,0,1,5,0,21,36,328,0,0,0
Kyle Juszczyk,SF,FB,16,41.4,0,0,0,0,0,8,30,0,30,41,324,1,2,2
Gerald Everett,LAR,TE,16,51.6,0,0,0,0,0,2,16,0,33,50,320,3,0,0
Tajae Sharpe,TEN,WR,16,45.2,0,0,0,0,0,1,16,0,26,47,316,2,0,0
Tim Patrick,DEN,WR,16,39.2,0,0,0,0,0,3,17,0,23,41,315,1,2,1
DeVante Parker,MIA,WR,11,36.9,0,0,0,0,0,0,0,0,24,47,309,1,0,0
Blake Jarwin,DAL,TE,16,48.7,0,0,0,0,0,0,0,0,27,36,307,3,0,0
Dalvin Cook,MIN,RB,11,116.0,0,0,0,0,0,133,615,2,40,49,305,2,2,2
Ryan Griffin,HOU,TE,14,30.5,0,0,0,0,0,0,0,0,24,43,305,0,0,0
Dontrelle Inman,IND,WR,9,48.4,0,0,0,0,0,0,0,0,28,39,304,3,0,0
Jacquizz Rodgers,TB,RB,16,47.0,0,0,0,0,0,33,106,1,38,45,304,0,1,1
Maurice Harris,WAS,WR,12,31.4,0,0,0,0,0,2,10,0,28,47,304,0,1,0
Geronimo Allison,GB,WR,5,42.3,0,0,0,0,0,0,0,0,20,30,303,2,1,0
Laquon Treadwell,MIN,WR,15,36.2,0,0,0,0,0,0,0,0,35,53,302,1,0,0
Jordan Matthews,PHI,WR,14,42.0,0,0,0,0,0,0,0,0,20,28,300,2,0,0
Joe Mixon,CIN,RB,14,200.4,0,0,0,0,0,237,1168,8,43,55,296,1,0,0
Allen Hurns,DAL,WR,16,41.5,0,0,0,0,0,0,0,0,20,35,295,2,1,0
Tyler Higbee,LAR,TE,16,41.2,0,0,0,0,0,0,0,0,24,34,292,2,1,0
Greg Olsen,CAR,TE,9,53.1,0,0,0,0,0,0,0,0,27,38,291,4,0,0
Phillip Dorsett,NE,WR,16,49.9,0,0,0,0,0,4,29,0,32,42,290,3,0,0
Cameron Brate,TB,TE,16,64.9,0,0,0,0,0,0,0,0,30,49,289,6,1,1
Demarcus Robinson,KC,WR,16,52.8,0,0,0,0,0,0,0,0,22,33,288,4,0,0
Keke Coutee,HOU,WR,6,34.7,0,0,0,0,0,3,0,0,28,41,287,1,0,0
Pierre Garcon,SF,WR,8,34.6,0,0,0,0,0,0,0,0,24,46,286,1,0,0
Jeff Heuerman,DEN,TE,11,40.1,0,0,0,0,0,0,0,0,31,48,281,2,0,0
Tevin Coleman,ATL,RB,16,161.6,0,0,0,0,0,167,800,4,32,44,276,5,2,0
Devontae Booker,DEN,RB,16,51.8,0,0,0,0,0,34,183,1,38,51,275,0,1,1
Rhett Ellison,NYG,TE,14,33.2,0,0,0,0,0,0,0,0,25,34,272,1,0,0
Nick Vannett,SEA,TE,15,44.9,0,0,0,0,0,0,0,0,29,43,269,3,1,0
Jakeem Grant,MIA,WR,10,39.3,0,0,0,0,0,1,5,0,21,34,268,2,0,0
Zach Pascal,IND,WR,16,39.8,0,0,0,0,0,2,10,0,27,46,268,2,0,0
Chris Thompson,WAS,RB,10,50.6,0,0,0,0,0,43,178,0,41,55,268,1,1,0
Martavis Bryant,OAK,WR,8,28.9,0,0,0,0,0,3,23,0,19,27,266,0,1,1
Levine Toilolo,DET,TE,16,32.3,0,0,0,0,0,0,0,0,21,24,263,1,0,0
Paul Richardson,WAS,WR,7,39.1,0,0,0,0,0,2,9,0,20,35,262,2,0,0
Matt Breida,SF,RB,14,137.5,0,0,0,0,0,153,814,3,27,31,261,2,1,1
Jason Croom,BUF,TE,15,31.9,0,0,0,0,0,0,0,0,22,35,259,1,2,2
Jonnu Smith,TEN,TE,13,43.8,0,0,0,0,0,0,0,0,20,31,258,3,1,0
