,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Jason Croom,BUF,TE,15,22,259,11.8,17.3,1,35,7.4,5,0,0,0,0,2,2
Jonnu Smith,TEN,TE,13,20,258,12.9,19.8,3,31,8.3,3,1,0,0,0,1,0
Ryan Switzer,PIT,WR,16,36,253,7.0,15.8,1,44,5.8,1,0,0,0,0,2,0
Terrelle Pryor,BUF/NYJ,WR,8,16,252,15.8,31.5,2,30,8.4,5,1,0,0,0,0,0
Matt LaCosse,DEN,TE,15,24,250,10.4,16.7,1,37,6.8,1,1,0,0,0,0,0
Cordarrelle Patterson,NE,WR,15,21,247,11.8,16.5,3,28,8.8,4,1,0,0,0,1,1
Jack Doyle,IND,TE,6,26,245,9.4,40.8,2,33,7.4,1,0,0,0,0,1,1
DaeSean Hamilton,DEN,WR,14,30,243,8.1,17.4,2,46,5.3,1,0,0,0,0,0,0
Geoff Swaim,DAL,TE,9,26,242,9.3,26.9,1,32,7.6,3,1,0,0,0,0,0
Phillip Lindsay,DEN,RB,15,35,241,6.9,16.1,1,47,5.1,1,0,0,0,0,0,0
LeSean McCoy,BUF,RB,14,34,238,7.0,17.0,0,46,5.2,2,0,0,0,0,0,0
Ty Montgomery,BAL/GB,RB,13,25,235,9.4,18.1,0,40,5.9,2,1,0,0,0,2,1
Aldrick Robinson,MIN,WR,14,17,231,13.6,16.5,5,35,6.6,2,1,0,0,0,0,0
Wendell Smallwood,PHI,RB,16,28,230,8.2,14.4,2,35,6.6,3,0,0,0,0,2,1
Anthony Firkser,TEN,TE,12,19,225,11.8,18.8,1,20,11.3,3,0,0,0,0,0,0
Jordan Akins,HOU,TE,16,17,225,13.2,14.1,0,25,9.0,3,0,0,0,0,0,0
Bruce Ellington,DET/HOU,WR,7,31,224,7.2,32.0,1,42,5.3,2,0,0,0,0,1,0
Spencer Ware,KC,RB,13,20,224,11.2,17.2,0,23,9.7,4,0,0,0,0,0,0
Giovani Bernard,CIN,RB,12,35,218,6.2,18.2,0,48,4.5,2,0,0,0,0,0,0
James Washington,PIT,WR,14,16,217,13.6,15.5,1,38,5.7,3,1,0,0,0,0,0
DeAndre Carter,HOU/PHI,WR,14,22,216,9.8,15.4,0,25,8.6,2,1,0,0,0,5,1
Jordan Thomas,HOU,TE,16,20,215,10.8,13.4,4,27,8.0,2,0,0,0,0,0,0
Trent Taylor,SF,WR,14,26,215,8.3,15.4,1,40,5.4,1,0,0,0,0,1,0
James O'Shaughnessy,JAX,TE,14,24,214,8.9,15.3,0,38,5.6,0,0,0,0,0,0,0
Mike Davis,SEA,RB,15,34,214,6.3,14.3,1,42,5.1,0,0,0,0,0,0,0
Nick Boyle,BAL,TE,16,23,213,9.3,13.3,0,37,5.8,1,0,0,0,0,0,0
Kerryon Johnson,DET,RB,10,32,213,6.7,21.3,1,39,5.5,1,0,0,0,0,1,1
John Ross,CIN,WR,13,21,210,10.0,16.2,7,58,3.6,3,0,0,0,0,0,0
Jamaal Williams,GB,RB,16,27,210,7.8,13.1,0,41,5.1,2,0,0,0,0,0,0
Trent Sherfield,ARI,WR,13,19,210,11.1,16.2,1,28,7.5,1,0,0,0,0,0,0
Virgil Green,LAC,TE,16,19,210,11.1,13.1,1,27,7.8,5,0,0,0,0,0,0
Ted Ginn,NO,WR,5,17,209,12.3,41.8,2,30,7.0,3,1,0,0,0,1,1
Keith Kirkwood,NO,WR,8,13,209,16.1,26.1,2,21,10.0,4,1,0,0,0,0,0
Adrian Peterson,WAS,RB,16,20,208,10.4,13.0,1,26,8.0,3,1,0,0,0,3,2
Aaron Jones,GB,RB,12,26,206,7.9,17.2,1,35,5.9,2,0,0,0,0,1,1
Chris Ivory,BUF,RB,13,13,205,15.8,15.8,0,21,9.8,4,2,0,0,0,1,0
Mike Gesicki,MIA,TE,16,22,202,9.2,12.6,0,32,6.3,1,0,0,0,0,1,1
Jaylen Samuels,PIT,RB,14,26,199,7.7,14.2,3,29,6.9,2,0,0,0,0,1,0
Bennie Fowler,NYG,WR,10,16,199,12.4,19.9,1,27,7.4,3,0,0,0,0,1,0
Javorius Allen,BAL,RB,14,35,196,5.6,14.0,2,43,4.6,0,0,0,0,0,1,1
Chris Moore,BAL,WR,16,19,196,10.3,12.3,1,25,7.8,3,0,0,0,0,0,0
Elijah McGuire,NYJ,RB,8,19,193,10.2,24.1,1,31,6.2,2,0,0,0,0,2,2
Corey Clement,PHI,RB,11,22,192,8.7,17.5,0,25,7.7,3,0,0,0,0,4,0
Cody Latimer,NYG,WR,6,11,190,17.3,31.7,1,16,11.9,4,0,0,0,0,0,0
TJ Jones,DET,WR,15,19,190,10.0,12.7,2,26,7.3,3,0,0,0,0,0,0
Torrey Smith,CAR,WR,11,17,190,11.2,17.3,2,31,6.1,2,0,0,0,0,0,0
Russell Shepard,NYG,WR,12,10,188,18.8,15.7,2,19,9.9,4,2,0,0,0,0,0
Travis Benjamin,LAC,WR,12,12,186,15.5,15.5,1,24,7.8,4,1,0,0,0,0,0
Josh Hill,NO,TE,16,16,185,11.6,11.6,1,24,7.7,4,0,0,0,0,0,0
Leonard Fournette,JAX,RB,8,22,185,8.4,23.1,1,26,7.1,3,0,0,0,0,0,0
Charles Clay,BUF,TE,13,21,184,8.8,14.2,0,36,5.1,2,0,0,0,0,1,1
Tyler Eifert,CIN,TE,4,15,179,11.9,44.8,1,19,9.4,2,0,0,0,0,0,0
Isaiah McKenzie,BUF,WR,7,18,179,9.9,25.6,0,30,6.0,1,0,0,0,0,2,1
DJ Chark,JAX,WR,11,14,174,12.4,15.8,0,32,5.4,2,0,0,0,0,1,1
Chad Williams,ARI,WR,10,17,171,10.1,17.1,1,46,3.7,1,0,0,0,0,0,0
Lance Kendricks,GB,TE,16,19,170,8.9,10.6,1,25,6.8,2,0,0,0,0,0,0
Mark Ingram,NO,RB,12,21,170,8.1,14.2,1,27,6.3,3,0,0,0,0,3,1
Alex Erickson,CIN,WR,16,20,167,8.4,10.4,0,29,5.8,1,0,0,0,0,1,1
Jaron Brown,SEA,WR,16,14,166,11.9,10.4,5,19,8.7,1,1,0,0,0,0,0
Luke Stocker,TEN,TE,16,15,165,11.0,10.3,2,21,7.9,2,0,0,0,0,0,0
Demetrius Harris,KC,TE,15,12,164,13.7,10.9,3,25,6.6,2,0,0,0,0,0,0
Lamar Miller,HOU,RB,14,25,163,6.5,11.6,1,35,4.7,0,0,0,0,0,1,1
Chris Carson,SEA,RB,14,20,163,8.2,11.6,0,24,6.8,1,0,0,0,0,3,2
Hayden Hurst,BAL,TE,12,13,163,12.5,13.6,1,23,7.1,3,0,0,0,0,0,0
Andre Holmes,BUF/DEN,WR,15,13,162,12.5,10.8,0,24,6.8,5,0,0,0,0,0,0
Deonte Thompson,BUF/DAL,WR,13,17,161,9.5,12.4,0,30,5.4,0,0,0,0,0,0,0
Darren Sproles,PHI,RB,6,15,160,10.7,26.7,2,23,7.0,3,0,0,0,0,0,0
Damien Williams,KC,RB,16,23,160,7.0,10.0,2,24,6.7,1,0,0,0,0,1,1
Cody Core,CIN,WR,14,13,160,12.3,11.4,1,28,5.7,2,0,0,0,0,0,0
Will Dissly,SEA,TE,4,8,156,19.5,39.0,2,14,11.1,3,1,1,0,0,0,0
Marcell Ateman,OAK,WR,7,15,154,10.3,22.0,1,31,5.0,2,0,0,0,0,0,0
Alfred Blue,HOU,RB,16,20,154,7.7,9.6,0,27,5.7,1,0,0,0,0,0,0
Isaiah Crowell,NYJ,RB,13,21,152,7.2,11.7,0,28,5.4,1,0,0,0,0,0,0
Ito Smith,ATL,RB,14,27,152,5.6,10.9,0,32,4.8,1,0,0,0,0,1,0
Dan Arnold,NO,TE,10,12,150,12.5,15.0,1,19,7.9,4,0,0,0,0,1,0
Marvin Hall,ATL,WR,16,10,149,14.9,9.3,1,19,7.8,2,1,0,0,0,0,0
Nick Chubb,CLE,RB,16,20,149,7.5,9.3,2,29,5.1,2,0,0,0,0,0,0
Jordan Howard,CHI,RB,16,20,145,7.3,9.1,0,27,5.4,0,0,0,0,0,2,1
Damion Ratley,CLE,WR,13,13,144,11.1,11.1,0,20,7.2,3,0,0,0,0,0,0
Trenton Cannon,NYJ,RB,16,17,144,8.5,9.0,0,25,5.8,1,0,0,0,0,0,0
Deontay Burnett,NYJ,WR,5,10,143,14.3,28.6,0,15,9.5,3,0,0,0,0,0,0
Maxx Williams,BAL,TE,13,16,143,8.9,11.0,1,17,8.4,3,0,0,0,0,0,0
Ed Dickson,SEA,TE,10,12,143,11.9,14.3,3,13,11.0,2,1,0,0,0,0,0
Latavius Murray,MIN,RB,16,22,141,6.4,8.8,0,26,5.4,0,0,0,0,0,0,0
Tavon Austin,DAL,WR,7,8,140,17.5,20.0,2,13,10.8,2,2,0,0,0,0,0
Brandon Marshall,SEA,WR,7,11,136,12.4,19.4,1,23,5.9,2,0,0,0,0,0,0
Brandon LaFell,OAK,WR,6,12,135,11.3,22.5,2,16,8.4,1,0,0,0,0,0,0
Justin Jackson,LAC,RB,13,15,135,9.0,10.4,0,19,7.1,0,0,0,0,0,0,0
Mo Alie-Cox,IND,TE,9,7,133,19.0,14.8,2,13,10.2,4,0,0,0,0,0,0
Justin Hardy,ATL,WR,16,14,133,9.5,8.3,2,22,6.0,0,0,0,0,0,1,0
Rex Burkhead,NE,RB,8,14,131,9.4,16.4,1,20,6.6,1,0,0,0,0,2,1
Richie James,SF,WR,13,9,130,14.4,10.0,1,14,9.3,2,1,0,0,0,2,1
Brandon Powell,DET,WR,6,11,129,11.7,21.5,0,17,7.6,1,1,1,0,0,0,0
Frank Gore,MIA,RB,14,12,124,10.3,8.9,1,16,7.8,1,0,0,0,0,1,0
Josh Bellamy,CHI,WR,16,14,117,8.4,7.3,1,25,4.7,1,0,0,0,0,0,0
