,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Geremy Davis,FA,2015,Combine,6-3,211,32.50,9.50,,-,4.18,65.2,6.86,67.8,36.5,62.1,124.0,68.2,23.0,96.5
Quartney Davis,FA,2020,Combine,6-1,201,31.38,9.50,4.54,33.8,,-,,-,35.5,47.2,0.0,0.0,,-
Marcus Davis,FA,2017,Pro Day,5-9,179,,,4.49,55.5,,-,,-,31.5,7.7,108.0,2.9,,-
Titus Davis,FA,2015,Combine,6-1,200,29.63,8.25,4.51,45.9,4.28,38.2,7.14,16.4,32.5,14.3,119.0,32.9,,-
Reggie Davis,FA,2017,Pro Day,6-0,170,,,4.31,97.8,,-,,-,,-,,-,,-
Corey Davis,TEN,2017,Combine,6-3,209,33.00,9.13,,-,,-,,-,,-,,-,,-
Ryan Davis,FA,2019,Combine,5-9,185,30.88,9.25,,-,4.23,49.8,7.09,23.8,35.0,42.4,124.0,68.2,12.0,27.4
Trevor Davis,FA,2016,Combine,6-1,188,31.00,10.00,4.42,78.8,4.22,52.5,6.60,96.3,38.5,83.2,124.0,68.2,11.0,18.3
Mike Davis,FA,2015,Combine,6-0,189,30.25,9.38,4.61,13.5,4.18,65.2,7.00,40.3,34.0,31.3,116.0,18.2,17.0,71.5
Devante Davis,FA,2015,Combine,6-3,220,32.38,9.50,4.57,23.4,4.12,79.8,7.25,6.0,35.5,47.2,115.0,13.8,16.0,63.4
Quinshad Davis,FA,2016,Pro Day,6-3,218,,,4.69,3.8,4.35,22.0,7.07,28.0,31.5,7.7,113.0,8.1,17.0,71.5
Gabriel Davis,BUF,2020,Combine,6-2,216,32.25,9.25,4.54,33.8,4.59,1.4,7.08,26.2,35.0,42.4,124.0,68.2,14.0,44.2
Andre Debose,FA,,Pro Day,6-0,190,,,4.40,85.7,4.09,85.5,6.93,56.0,37.5,74.2,123.0,60.5,12.0,27.4
Eric Decker,FA,2010,Combine,6-3,214,31.00,9.13,,-,,-,,-,,-,,-,15.0,53.6
Mark Dell,FA,2011,Pro Day,6-2,195,,,4.54,33.8,4.15,70.9,6.89,62.3,33.0,18.4,117.0,22.4,,-
Gehrig Dieter,FA,2017,Combine,6-2,208,,,4.58,20.0,,-,,-,32.5,14.3,108.0,2.9,15.0,53.6
Stefon Diggs,BUF,2015,Combine,6-0,191,31.25,10.00,4.46,64.5,4.32,30.5,7.03,35.6,35.0,42.4,115.0,13.8,,-
Johnnie Dixon,FA,2019,Combine,5-11,198,30.25,9.63,4.41,83.4,4.43,12.5,,-,37.5,74.2,120.0,38.6,16.0,63.4
Aaron Dobson,FA,2013,Combine,6-3,205,33.00,9.00,,-,,-,,-,,-,,-,,-
Rahmel Dockery,FA,2017,Pro Day,5-10,180,30.00,8.75,4.70,3.4,,-,7.01,38.9,29.0,1.8,108.0,2.9,10.0,12.8
Josh Doctson,NYJ,2016,Combine,6-2,202,31.88,9.88,4.50,50.3,4.08,87.0,6.84,70.1,41.0,94.6,131.0,92.6,14.0,44.2
Phillip Dorsett,SEA,2015,Combine,5-10,192,30.25,9.38,4.33,96.2,4.11,82.0,6.70,87.0,37.0,68.3,122.0,53.9,13.0,34.7
Greg Dortch,FA,2019,Combine,5-7,173,29.25,9.25,,-,,-,,-,,-,,-,,-
Tandon Doss,FA,2011,Combine,6-2,205,31.25,10.13,,-,,-,,-,,-,,-,14.0,44.2
Keelan Doss,FA,2019,Combine,6-3,204,31.75,9.50,,-,,-,,-,,-,,-,8.0,4.4
Harry Douglas,FA,,Combine,6-0,183,,,4.51,45.9,4.12,79.8,6.57,97.0,31.0,5.0,120.0,38.6,,-
David Dudeck,FA,2017,Pro Day,5-9,195,,,4.68,4.3,,-,6.88,64.4,37.5,74.2,96.0,1.5,15.0,53.6
Ashton Dulin,IND,2019,Combine,6-1,215,33.38,9.00,4.43,75.1,4.22,52.5,7.00,40.3,38.0,78.4,121.0,48.5,13.0,34.7
Malachi Dupre,FA,2017,Pro Day,6-2,196,31.50,9.00,4.46,64.5,,-,,-,,-,,-,,-
Travin Dural,FA,2017,Pro Day,6-2,207,32.00,8.75,4.57,23.4,,-,,-,,-,,-,,-
Jovon Durante,FA,2019,Combine,6-0,165,31.13,8.75,4.55,30.5,4.31,32.7,7.00,40.3,31.5,7.7,120.0,38.6,,-
Devin Duvernay,BAL,2020,Combine,5-11,200,30.63,9.50,4.39,87.9,4.20,58.2,7.13,16.9,35.5,47.2,123.0,60.5,,-
Marcus Easley,FA,2010,Combine,6-2,217,32.75,8.50,4.39,87.9,4.60,1.1,6.94,53.5,34.0,31.3,123.0,60.5,16.0,63.4
