,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Dru Samia,MIN,2019,Combine,6-5,308,33.00,10.13,5.29,34.2,4.70,60.2,7.89,47.7,27.5,37.6,101.0,36.9,28.0,63.7
Max Scharping,HOU,2019,Combine,6-6,327,33.63,10.00,,-,4.69,63.9,7.77,58.0,28.0,40.9,108.0,70.9,27.0,58.4
Brandon Scherff,WAS,2015,Combine,6-5,315,,,5.05,89.2,,-,,-,,-,,-,23.0,26.5
Steve Schilling,FA,,Combine,6-5,312,32.75,9.63,5.29,34.2,4.62,73.5,7.73,62.5,25.5,16.1,98.0,24.3,30.0,77.0
Isaac Seumalo,PHI,2016,Combine,6-4,303,33.00,9.88,5.19,64.0,4.52,92.8,7.40,92.0,,-,105.0,51.5,,-
Jordan Simmons,SEA,2017,Pro Day,6-4,339,,,5.14,75.7,,-,,-,,-,,-,,-
John Simpson,LV,2020,Combine,6-4,321,34.13,11.25,5.24,47.7,4.87,30.1,8.03,26.1,30.0,67.7,107.0,66.0,34.0,87.6
Nico Siragusa,FA,2017,Combine,6-4,320,33.50,10.63,5.35,18.0,4.56,88.0,7.71,63.6,32.0,84.9,110.0,80.6,28.0,63.7
Jared Smith,FA,,Combine,6-4,302,,,5.08,83.8,4.39,98.8,7.20,98.9,32.5,87.1,28.0,0.0,115.0,100.0
Braden Smith,IND,2018,Combine,6-6,315,32.50,9.38,5.21,56.8,,-,,-,33.5,92.5,,-,35.0,90.3
Dustin Stanton,FA,2017,Combine,6-5,298,32.50,9.00,5.20,57.7,,-,7.81,55.7,30.0,67.7,108.0,70.9,18.0,6.2
Logan Stenberg,DET,2020,Combine,6-6,317,32.50,10.25,5.30,30.6,4.83,34.9,8.00,31.8,26.0,21.5,104.0,49.5,,-
Simon Stepaniak,GB,2020,Combine,6-4,313,32.00,10.38,,-,,-,,-,,-,,-,37.0,95.6
J.R. Sweezy,ARI,,Combine,6-5,310,34.00,9.68,5.01,92.8,4.41,97.6,7.40,92.0,36.0,97.8,113.0,93.2,21.0,17.7
Trevon Tate,FA,2019,Combine,6-3,293,32.38,9.63,,-,,-,,-,,-,,-,22.0,22.1
Rod Taylor,FA,2018,Combine,6-3,320,34.25,9.75,5.25,45.0,,-,,-,30.5,74.2,99.0,28.2,,-
Wyatt Teller,CLE,2018,Combine,6-4,315,34.00,10.25,5.24,47.7,,-,,-,29.0,60.2,,-,30.0,77.0
Nate Theaker,FA,2017,Combine,6-5,315,35.63,9.63,5.41,9.0,4.89,26.5,7.97,37.5,27.0,31.2,105.0,51.5,23.0,26.5
Joe Thuney,NE,2016,Combine,6-5,308,32.25,9.63,4.95,97.3,4.54,89.2,7.47,87.5,,-,110.0,80.6,28.0,63.7
Laken Tomlinson,SF,2015,Combine,6-3,312,,,5.33,22.5,4.87,30.1,8.17,11.4,31.5,83.9,103.0,42.7,25.0,40.7
Sebastian Tretola,FA,2016,Combine,6-4,314,31.50,10.38,5.45,5.4,5.02,4.8,7.94,40.9,,-,90.0,2.9,22.0,22.1
Landon Turner,FA,2016,Combine,6-4,325,32.88,10.38,5.58,0.0,,-,,-,,-,88.0,1.9,30.0,77.0
Salesi Uhatafe,FA,2018,Combine,6-5,315,33.00,10.25,5.39,12.6,,-,,-,28.0,40.9,,-,,-
Halapoulivaati Vaitai,DET,2016,Combine,6-6,320,34.25,10.63,5.26,41.4,5.00,7.2,8.26,4.5,,-,113.0,93.2,23.0,26.5
Greg Van Roten,NYJ,2012,Pro Day,6-3,305,,,5.12,80.2,4.60,79.5,7.98,36.4,34.5,96.8,112.0,89.3,31.0,83.2
Sean Welsh,FA,2018,Combine,6-3,296,32.00,10.25,5.40,10.8,,-,,-,25.0,8.6,,-,20.0,12.4
Christian Westerman,FA,2016,Combine,6-3,305,33.50,11.88,5.17,67.6,4.71,55.4,7.69,65.9,,-,98.0,24.3,34.0,87.6
Cody Whitehair,CHI,2016,Combine,6-3,309,32.38,10.13,5.08,83.8,4.58,83.1,7.32,96.6,,-,110.0,80.6,16.0,3.5
Connor Williams,DAL,2018,Combine,6-5,298,33.00,10.50,5.06,88.3,,-,,-,34.0,93.5,112.0,89.3,26.0,46.0
Avery Young,FA,2016,Combine,6-6,326,34.00,11.00,5.39,12.6,4.91,18.1,8.22,5.7,,-,,-,,-
