,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Jerry Ugokwe,FA,2017,Combine,6-7,315,35.38,10.38,5.61,2.4,5.17,3.5,8.35,6.0,26.0,20.4,103.0,33.6,18.0,10.8
Prince Tega Wanogho,FA,2020,Combine,6-5,308,33.50,10.38,,-,,-,,-,,-,,-,,-
Toby Weathersby,FA,2018,Combine,6-4,317,33.25,10.25,5.35,20.6,,-,,-,24.5,11.1,106.0,50.0,28.0,87.5
Glenn Welch,FA,2017,Pro Day,6-2,224,,,,-,,-,,-,29.5,64.8,,-,,-
Chad Wheeler,FA,2017,Combine,6-7,312,33.13,9.50,5.48,10.3,5.01,16.5,,-,20.5,1.9,105.0,44.8,15.0,3.3
Daryl Williams,BUF,2015,Combine,6-6,330,,,5.34,21.4,5.15,4.7,,-,26.0,20.4,97.0,14.7,27.0,81.7
Jonah Williams,CIN,2019,Combine,6-4,305,33.63,10.13,5.12,70.6,4.79,47.1,8.01,32.1,28.0,43.5,100.0,22.4,23.0,40.0
Jedrick Wills,CLE,2020,Combine,6-4,320,34.25,10.00,5.05,80.2,4.84,38.8,,-,34.5,97.2,113.0,84.5,,-
Isaiah Wilson,TEN,2020,Combine,6-6,350,35.50,10.25,5.32,25.4,5.07,10.6,8.26,13.1,29.0,59.3,110.0,75.0,26.0,72.5
Eric Winston,FA,,Combine,6-7,310,,,4.94,91.3,4.49,95.3,7.47,89.3,29.0,59.3,108.0,60.3,,-
Tristan Wirfs,TB,2020,Combine,6-5,320,34.00,10.25,4.86,96.8,4.68,68.2,7.65,76.2,36.5,99.1,121.0,98.3,24.0,55.8
Isaiah Wynn,NE,2018,Combine,6-2,310,33.38,8.50,,-,,-,,-,,-,,-,,-
