Player Name,Team,Pos,Status,Injury,Mon,Tue,Wed,Thu,Fri,Sat,Sun
DeMarcus Lawrence,DAL,DE,,,-,-,FP,FP,FP,-,-
Nevin Lawson,LV,CB,,,-,-,LP,LP,FP,-,-
Shaq Lawson,MIA,DE,Out,Shoulder,-,-,DNP,LP,LP,-,-
Darius Leonard,IND,LB,Out,Groin,-,-,DNP,DNP,DNP,-,-
Anthony Levine,BAL,S,Questionable,Abdomen,-,-,LP,LP,LP,-,-
Taylor Lewan,TEN,OT,Questionable,Shoulder,-,-,FP,FP,FP,LP,-
Damien Lewis,SEA,OG,,,-,-,LP,FP,-,-,-
Brandon Linder,JAX,C,,,-,-,LP,FP,FP,-,-
Phillip Lindsay,DEN,RB,,,-,-,FP,FP,FP,FP,-
Greg Little,CAR,OT,,,-,-,FP,FP,FP,-,-
Drew Lock,DEN,QB,Questionable,Shoulder,-,-,LP,LP,LP,LP,-
Tyler Lockett,SEA,WR,,,-,-,LP-Non Injury,FP,-,-,-
Joe Looney,DAL,C,IR,Knee - MCL,-,-,DNP,DNP,DNP,-,-
Alex Mack,ATL,C,,,-,-,-,DNP-Non Injury,-,-,-
Khalil Mack,CHI,LB,,,-,LP,FP,-,-,-,-
Avonte Maddox,PHI,CB,Out,Ankle,-,-,DNP,DNP,DNP,-,-
Justin Madubuike,BAL,DE,Questionable,Knee,-,-,FP,FP,FP,-,-
Chris Manhertz,CAR,TE,,,-,-,LP,LP,FP,-,-
Trey Marshall,DEN,S,,,-,-,FP,FP,FP,FP,-
Shaq Mason,NE,OG,Questionable,Calf,-,-,LP,LP,LP,LP,-
Bobby Massie,CHI,OT,,,-,FP,FP,-,-,-,-
Benson Mayowa,SEA,DE,,,-,-,LP,LP,FP,-,-
Cole Mazza,LAC,C,,,-,-,-,FP,FP,FP,-
Devin McCourty,NE,S,Questionable,Personal,-,-,-,-,-,DNP-Non Injury,-
LeSean McCoy,TB,RB,Inactive,Ankle,-,DNP,DNP,-,-,-,-
Takkarist McKinley,ATL,DE,,,-,-,LP,LP,LP,-,-
Benardrick McKinney,HOU,LB,Questionable,Shoulder,-,-,LP,LP,LP,-,-
Terry McLaurin,WAS,WR,,,-,-,DNP,LP,FP,-,-
Rodney McLeod,PHI,S,,,-,-,DNP,LP,FP,-,-
Sherrick McManis,CHI,S,Inactive,Hamstring,-,DNP,DNP,-,-,-,-
DK Metcalf,SEA,WR,,,-,-,LP-Non Injury,FP,-,-,-
Matt Milano,BUF,LB,Out,Pectoral,-,-,DNP,DNP,DNP,DNP,-
Scotty Miller,TB,WR,,,-,DNP,LP,-,-,-,-
Joe Mixon,CIN,RB,Questionable,Shin,-,-,-,LP,LP,-,-
Darnell Mooney,CHI,WR,,,-,FP,FP,-,-,-,-
Chris Moore,BAL,WR,Questionable,Thigh,-,-,LP,LP,LP,-,-
David Moore,SEA,WR,,,-,-,FP,-,FP,-,-
Kenny Moore,IND,CB,,,-,-,-,-,DNP-Non Injury,-,-
Emmanuel Moseley,SF,CB,Out,Concussion,-,-,DNP,DNP,DNP,-,-
Zack Moss,BUF,RB,Questionable,Toe,-,-,LP,LP,LP,FP,-
Raheem Mostert,SF,RB,Questionable,Knee - MCL,-,-,LP,LP,LP,-,-
Kenneth Murray,LAC,LB,,,-,-,-,FP,FP,FP,-
Keanu Neal,ATL,S,,,-,-,LP,LP,LP,-,-
Keisean Nixon,LV,CB,,,-,-,LP,LP,LP,-,-
Derrick Nnadi,KC,DT,,,-,-,FP,FP,FP,-,-
Storm Norton,LAC,OT,,,-,-,-,FP,FP,FP,-
Dorian O'Daniel,KC,LB,,,-,-,FP,FP,FP,-,-
Brian O'Neill,MIN,OT,,,-,-,FP,FP,FP,-,-
James O'Shaughnessy,JAX,TE,,,-,-,-,DNP-Non Injury,FP,-,-
Larry Ogunjobi,CLE,DT,Out,Oblique,-,-,DNP,DNP,DNP,-,-
