,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Drew Brees,NO,QB,16,23,20,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Josh Ferguson,IND,RB,16,15,20,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Chris Moore,BAL,WR,15,3,19,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Travaris Cadet,NO,RB,15,4,19,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mike James,TB,RB,4,4,19,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Bryce Petty,NYJ,QB,6,5,19,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Adam Humphries,TB,WR,15,5,18,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
C.J. Spiller,NYJ/SEA,RB,6,6,18,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Cody Kessler,CLE,QB,9,11,18,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jarvis Landry,MIA,WR,16,5,17,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Colton Schmidt,BUF,P,16,1,16,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jared Goff,LAR,QB,7,8,16,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Adam Thielen,MIN,WR,16,2,15,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Zach Line,MIN,FB,15,7,15,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Josh Huff,PHI/TB,WR,10,4,15,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Antonio Andrews,TEN,RB,16,2,15,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Cedric Peerman,CIN,RB,6,6,15,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kendall Wright,TEN,WR,11,1,15,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Marc Mariani,TEN,WR,16,1,15,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ben Roethlisberger,PIT,QB,14,16,14,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Sammie Coates,PIT,WR,14,4,14,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Nelson Agholor,PHI,WR,15,5,14,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jerome Felton,BUF,FB,15,8,13,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Terrence Magee,SEA,RB,2,3,12,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tom Savage,HOU,QB,3,6,12,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Quincy Enunwa,NYJ,WR,16,1,12,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Stepfan Taylor,ARI,RB,15,4,12,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Bronson Hill,JAX,RB,3,2,11,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Percy Harvin,BUF,WR,2,1,11,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Delanie Walker,TEN,TE,15,2,11,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tommylee Lewis,NO,WR,12,3,11,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Martellus Bennett,NE,TE,16,2,10,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Corey Coleman,CLE,WR,10,2,10,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Phillip Dorsett,IND,WR,15,2,10,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Stefon Diggs,MIN,WR,13,3,10,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
John Brown,ARI,WR,15,1,10,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jay Prosch,HOU,FB,15,4,9,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Geno Smith,NYJ,QB,2,2,9,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Russell Shepard,TB,WR,14,1,9,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Odell Beckham,NYG,WR,16,1,9,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kevin White,CHI,WR,4,1,9,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Antonio Brown,PIT,WR,15,3,9,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
